ClassID,GuildLv,Lv,Cost,PlayerCnt,TimeLimit,StartWaitSec,ClassName,Name,EventType,StartMap,StarWarp,MGame,SummaryInfo,DetailInfo,TxtInfo,BossName,StartNPC,StageLoc_1,StageTrack_1,StageInfo_1,StageLoc_2,StageTrack_2,StageInfo_2,StageLoc_3,StageTrack_3,StageInfo_3,StageLoc_4,StageTrack_4,StageInfo_4,StageLoc_5,StageTrack_5,StageInfo_5,StageLoc_6,StageTrack_6,StageInfo_6,StageLoc_7,StageTrack_7,StageInfo_7,StageLoc_8,StageTrack_8,StageInfo_8,StageLoc_9,StageTrack_9,StageInfo_9,StageLoc_10,StageTrack_10,StageInfo_10
1,5,1,1,30,5400,30,"GM_SAMPLE_1","마법사의 탑","MISSION","d_firetower_44","FIRETOWER44_TO_GUILDMISSION","MISSION_FIRETOWER_01","마법사의 탑","마법사의 탑","GID_SAMPLE_TXTINFO_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,0,1,1,30,5400,300,"GM_SAMPLE_2","협곡지대","MISSION","","","MISSION_ROKAS_01","협곡지대","협곡지대","GID_SAMPLE_TXTINFO_2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,0,1,1,30,5400,300,"GM_SAMPLE_3","왕릉","MISSION","","","MISSION_ZACHA_01","왕릉","왕릉","GID_SAMPLE_TXTINFO_3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,0,1,1,30,5400,300,"GM_SAMPLE_4","가시숲","MISSION","","","Raid_thorn1_minigame","가시숲","가시숲","GID_SAMPLE_TXTINFO_4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,0,1,1,30,5400,300,"GM_SAMPLE_5","개발중","MISSION","","","","개발중","개발중","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,0,1,1,30,5400,300,"GM_SAMPLE_6","개발중","MISSION","","","","개발중","개발중","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1000,4,1,1,0,3600,300,"GFB_SAMPLE_1","템플슈터 처치","FBOSS","d_cmine_02","","","템플슈터 처치","템플슈터 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Templeshooter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1001,0,1,1,0,3600,300,"GFB_SAMPLE_2","어보미네이션 처치","FBOSS","d_chapel_57_6","","","어보미네이션 처치","어보미네이션 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Abomination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1002,0,1,1,0,3600,300,"GFB_SAMPLE_3","포아타 처치","FBOSS","f_huevillage_58_3","","","포아타 처치","포아타 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_poata","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1003,0,1,1,0,3600,300,"GFB_SAMPLE_4","키르멜리치 처치","FBOSS","f_rokas_27","","","키르멜리치 처치","키르멜리치 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Kimeleech","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1004,0,1,1,0,3600,300,"GFB_SAMPLE_5","자이언트 우드 고블린 처치","FBOSS","f_rokas_30","","","자이언트 우드 고블린 처치","자이언트 우드 고블린 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_GiantWoodGoblin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1005,0,1,1,0,3600,300,"GFB_SAMPLE_6","베브라스피온 처치","FBOSS","f_siauliai_47_4","","","베브라스피온 처치","베브라스피온 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_bebraspion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1006,0,1,1,0,3600,300,"GFB_SAMPLE_7","락토르투가 처치","FBOSS","f_farm_47_1","","","락토르투가 처치","락토르투가 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Rocktortuga","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1007,0,1,1,0,3600,300,"GFB_SAMPLE_8","세콰이아 처치","FBOSS","f_katyn_7","","","세콰이아 처치","세콰이아 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Sequoia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
