ClassID,Rate,MinValue,MaxValue,ClassName,Desc,Script,Consume
1,100,1,1,"Opt_ATK","공격력 + %d","SCR_OPT_ATK","OPT_CONSUME"
2,100,1,3,"OPT_CRTHR","치명타 적중도 + %d","SCR_OPT_CRTHR","OPT_CRITICAL"
3,100,1,1,"OPT_STR","힘 + %d","SCR_OPT_STR","OPT_CONSUME"
4,100,1,1,"OPT_DEX","민첩 + %d","SCR_OPT_DEX","OPT_CONSUME"
5,100,1,1,"OPT_CON","체력 + %d","SCR_OPT_CON","OPT_CONSUME"
6,100,1,1,"OPT_INT","지능 + %d","SCR_OPT_INT","OPT_CONSUME"
7,100,1,3,"OPT_CRTATK","치명타 피해 + %d","SCR_OPT_CRTATK","OPT_CONSUME"
8,100,1,3,"OPT_MHP","최대 생명력 + %d","SCR_OPT_MHP","OPT_CONSUME"
9,100,1,3,"OPT_MSP","최대 정신력 + %d","SCR_OPT_MSP","OPT_CONSUME"
10,100,1,3,"OPT_HR","정확도 + %d","SCR_OPT_HR","OPT_CONSUME"
13,100,1,1,"OPT_DEF","방어력 + %d","SCR_OPT_DEF","OPT_CONSUME"
11,100,1,3,"OPT_CRTDR","방어 숙련도 + %d","SCR_OPT_CRTDR","OPT_CONSUME"
12,100,1,3,"OPT_CRTDEF","치명타 피해 방어 + %d","SCR_OPT_CRTDEF","OPT_CONSUME"
14,100,1,3,"OPT_DR","회피 숙련도 + %d","SCR_OPT_DR","OPT_CONSUME"
15,100,1,3,"OPT_HR2","정확도 + %d","SCR_OPT_HR","OPT_CONSUME"
16,100,1,3,"OPT_MHP2","최대 생명력 + %d","SCR_OPT_MHP","OPT_CONSUME"
17,100,1,3,"OPT_MSP2","최대 정신력 + %d","SCR_OPT_MSP","OPT_CONSUME"
18,100,1,1,"OPT_STR2","힘 + %d","SCR_OPT_STR","OPT_CONSUME"
19,100,1,1,"OPT_DEX2","민첩 + %d","SCR_OPT_DEX","OPT_CONSUME"
