ClassID,Circle_1,Circle_2,Circle_3,Circle_4,Circle_5,Circle_6,Circle_7,Circle_8
1,19.780220,19.852942,19.895288,19.921875,19.940475,19.953596,19.963032,19.969744
2,39.560440,39.558823,39.685863,39.765625,39.821430,39.860790,39.889095,19.939486
3,59.120880,59.117645,59.371727,59.531250,59.642857,59.721577,59.778187,19.909229
4,78.461540,78.529411,78.952881,79.218750,79.404762,79.535965,79.630318,19.878971
5,97.582420,97.794121,98.429321,98.828125,99.107140,99.303947,99.445473,19.848715
6,116.483513,116.911766,117.801048,118.359375,118.750000,119.025520,119.223663,19.818457
7,135.164841,135.882355,137.068069,137.812500,138.333328,138.700699,138.964874,19.788200
8,153.626373,154.705887,156.230362,157.187500,157.857147,158.329468,158.669128,19.757942
9,171.868134,173.382355,175.287964,176.484375,177.321426,177.911835,178.336411,19.727686
10,189.890106,191.911758,194.240845,195.703125,196.726196,197.447800,197.966736,19.697428
11,207.692307,210.294113,213.089005,214.843750,216.071426,216.937347,217.560074,19.667171
12,225.274719,228.529419,231.832458,233.906250,235.357147,236.380508,237.116455,19.636913
13,242.637360,246.617645,250.471207,252.890625,254.583328,255.777267,256.635864,19.606657
14,259.780212,264.558838,269.005249,271.796875,273.750000,275.127625,276.118286,19.576399
15,276.703308,282.352936,287.434540,290.625000,292.857147,294.431549,295.563782,19.546143
16,293.406586,300,305.759155,309.375000,311.904755,313.689087,314.972260,19.515884
17,309.890106,317.500000,323.979065,328.046875,330.892853,332.900238,334.343811,19.485628
18,326.153839,334.852936,342.094238,346.640625,349.821442,352.064972,353.678375,19.455370
19,342.197815,352.058838,360.104706,365.156250,368.690491,371.183289,372.975983,19.425114
20,358.021973,369.117645,378.010468,383.593750,387.500000,390.255219,392.236603,19.394855
21,373.626373,386.029419,395.811523,401.953125,406.250000,409.280731,411.460266,19.364599
22,389.010986,402.794128,413.507843,420.234375,424.940491,428.259857,430.646942,19.334341
23,404.175812,419.411774,431.099487,438.437500,443.571442,447.192566,449.796661,19.304085
24,419.120880,435.882355,448.586395,456.562500,462.142853,466.078888,468.909424,19.273827
25,433.846161,452.205872,465.968597,474.609375,480.654755,484.918793,487.985199,19.243570
26,448.351654,468.382355,483.246063,492.578125,499.107147,503.712311,507.024017,19.213314
27,462.637360,484.411774,500.418854,510.468750,517.500000,522.459412,526.025879,19.183056
28,476.703308,500.294128,517.486938,528.281250,535.833313,541.160095,544.990784,19.152800
29,490.549438,516.029419,534.450256,546.015625,554.107117,559.814392,563.918640,19.122541
30,504.175812,531.617676,551.308899,563.671875,572.321411,578.422302,582.809631,19.092285
31,517.582397,547.058838,568.062805,581.250000,590.476196,596.983765,601.663574,19.062027
32,530.769226,562.352966,584.712036,598.750000,608.571411,615.498840,620.480591,19.031771
33,543.736267,577.500000,601.256531,616.171875,626.607117,633.967529,639.260620,19.001513
34,556.483521,592.500000,617.696350,633.515625,644.583313,652.389771,658.003723,18.971256
35,569.010986,607.352966,634.031433,650.781250,662.500000,670.765686,676.709778,18.940998
36,581.318665,622.058838,650.261780,667.968750,680.357117,689.095154,695.378906,18.910742
37,593.406616,636.617676,666.387451,685.078125,698.154785,707.378174,714.011108,18.880484
38,605.274719,651.029419,682.408386,702.109375,715.892883,725.614868,732.606262,18.850227
39,616.923096,665.294128,698.324585,719.062500,733.571411,743.805115,751.164490,18.819969
40,628.351624,679.411743,714.136108,735.937500,751.190491,761.948975,769.685791,18.789713
41,639.560425,693.382324,729.842957,752.734375,768.750000,780.046387,788.170044,18.759455
42,650.549438,707.205872,745.445007,769.453125,786.250000,798.097473,806.617371,18.729198
43,661.318665,720.882324,760.942383,786.093750,803.690491,816.102112,825.027710,18.698940
44,671.868103,734.411743,776.335083,802.656250,821.071411,834.060303,843.401123,18.668684
45,682.197815,747.794128,791.623047,819.140625,838.392883,851.972168,861.737549,18.638426
46,692.307678,761.029419,806.806274,835.546875,855.654785,869.837585,880.036987,18.608170
47,702.197815,774.117676,821.884827,851.875000,872.857117,887.656616,898.299438,18.577911
48,711.868103,787.058838,836.858643,868.125000,890,905.429260,916.524963,18.547655
49,721.318665,799.852966,851.727722,884.296875,907.083313,923.155457,934.713501,18.517399
50,730.549438,812.500000,866.492126,900.390625,924.107117,940.835266,952.865051,18.487141
51,739.560425,825,881.151855,916.406250,941.071411,958.468689,970.979675,18.456884
52,748.351624,837.352966,895.706787,932.343750,957.976196,976.055664,989.057312,18.426626
53,756.923096,849.558838,910.157043,948.203125,974.821411,993.596313,1007.097961,18.396370
54,765.274719,861.617676,924.502625,963.984375,991.607117,1011.090515,1025.101685,18.366112
55,773.406616,873.529419,938.743469,979.687500,1008.333313,1028.538330,1043.068359,18.335855
56,781.318665,885.294128,952.879578,995.312500,1025,1045.939697,1060.998169,18.305597
57,789.010986,896.911743,966.911011,1010.859375,1041.607178,1063.294678,1078.890991,18.275341
58,796.483521,908.382324,980.837708,1026.328125,1058.154785,1080.603271,1096.746826,18.245083
59,803.736267,919.705872,994.659668,1041.718750,1074.642822,1097.865479,1114.565674,18.214827
60,810.769226,930.882324,1008.376953,1057.031250,1091.071411,1115.081177,1132.347534,18.184568
61,817.582397,941.911743,1021.989502,1072.265625,1107.440430,1132.250610,1150.092407,18.154312
62,824.175842,952.794128,1035.497437,1087.421875,1123.750000,1149.373535,1167.800415,18.124054
63,830.549438,963.529419,1048.900513,1102.500000,1140,1166.450073,1185.471313,18.093798
64,836.703308,974.117676,1062.198975,1117.500000,1156.190430,1183.480225,1203.105347,18.063540
65,842.637390,984.558838,1075.392700,1132.421875,1172.321411,1200.463989,1220.702393,18.033283
66,848.351624,994.852966,1088.481689,1147.265625,1188.392822,1217.401367,1238.262451,18.003025
67,853.846130,1005,1101.465942,1162.031250,1204.404785,1234.292358,1255.785522,17.972769
68,859.120850,1015,1114.345581,1176.718750,1220.357178,1251.136841,1273.271729,17.942511
69,864.175842,1024.852905,1127.120361,1191.328125,1236.250000,1267.935059,1290.720947,17.912254
70,869.010986,1034.558838,1139.790527,1205.859375,1252.083374,1284.686768,1308.133057,17.881996
71,873.626404,1044.117676,1152.356079,1220.312500,1267.857178,1301.392090,1325.508301,17.851740
72,878.021973,1053.529419,1164.816772,1234.687500,1283.571411,1318.051025,1342.846558,17.821482
73,882.197815,1062.794067,1177.172729,1248.984375,1299.226196,1334.663574,1360.147827,17.791225
74,886.153870,1071.911743,1189.424072,1263.203125,1314.821411,1351.229736,1377.412231,17.760969
75,889.890137,1080.882324,1201.570679,1277.343750,1330.357178,1367.749390,1394.639526,17.730711
