ClassID,DEF_PANTS,DEF_GLOVES,DEF_BOOTS,DEF_LH,DEF_SHIRT
1,1,0,0,0,2
2,1,0,0,0,2
3,1,0,0,0,2
4,1,0,0,0,2
5,1,0,0,0,2
6,1,0,0,0,2
7,1,1,1,0,2
8,1,1,1,1,2
9,1,1,1,1,2
10,2,1,1,1,3
11,2,1,1,1,3
12,2,1,1,1,3
13,2,1,1,2,3
14,2,1,1,2,3
15,2,1,1,2,3
16,3,1,1,2,4
17,3,1,1,2,4
18,3,1,1,2,4
19,3,1,1,2,4
20,4,2,2,3,4
21,4,2,2,3,5
22,4,2,2,3,5
23,4,2,2,3,5
24,4,2,2,3,5
25,5,2,2,3,6
26,5,2,2,4,6
27,5,2,2,4,6
28,5,2,2,4,6
29,6,3,3,4,7
30,6,3,3,4,7
31,6,3,3,5,7
32,6,3,3,5,7
33,7,3,3,5,8
34,7,3,3,5,8
35,7,3,3,5,8
36,8,4,4,6,8
37,8,4,4,6,9
38,8,4,4,6,9
39,9,4,4,6,10
40,9,4,4,7,10
41,9,4,4,7,10
42,9,4,4,7,10
43,10,5,5,7,11
44,10,5,5,8,11
45,10,5,5,8,11
46,11,5,5,8,12
47,11,5,5,8,12
48,12,6,6,9,12
49,12,6,6,9,13
50,12,6,6,9,13
51,13,6,6,10,14
52,13,6,6,10,14
53,14,7,7,10,15
54,14,7,7,10,15
55,14,7,7,11,15
56,15,7,7,11,16
57,15,7,7,11,16
58,16,8,8,12,17
59,16,8,8,12,17
60,17,8,8,13,18
61,17,8,8,13,18
62,18,9,9,13,19
63,18,9,9,14,19
64,19,9,9,14,20
65,19,9,9,14,20
66,20,10,10,15,21
67,20,10,10,15,21
68,21,10,10,16,22
69,21,10,10,16,22
70,22,11,11,16,23
71,22,11,11,17,23
72,23,11,11,17,24
73,24,12,12,18,24
74,24,12,12,18,25
75,25,12,12,18,26
76,25,12,12,19,26
77,26,13,13,19,27
78,26,13,13,20,27
79,27,13,13,20,28
80,27,13,13,20,28
81,28,14,14,21,29
82,28,14,14,21,29
83,29,14,14,22,30
84,29,14,14,22,30
85,30,15,15,22,31
86,30,15,15,23,31
87,31,15,15,23,32
88,32,16,16,24,32
89,32,16,16,24,33
90,33,16,16,24,34
91,33,16,16,25,34
92,34,17,17,25,35
93,34,17,17,26,35
94,35,17,17,26,36
95,35,17,17,26,36
96,36,18,18,27,37
97,36,18,18,27,37
98,37,18,18,28,38
99,37,18,18,28,38
100,38,19,19,28,39
101,38,19,19,29,39
102,39,19,19,29,40
103,40,20,20,30,40
104,40,20,20,30,41
105,41,20,20,30,42
106,41,20,20,31,42
107,42,21,21,31,43
108,42,21,21,32,43
109,43,21,21,32,44
110,43,21,21,32,44
111,44,22,22,33,45
112,44,22,22,33,45
113,45,22,22,34,46
114,45,22,22,34,46
115,46,23,23,34,47
116,46,23,23,35,47
117,47,23,23,35,48
118,48,24,24,36,48
119,48,24,24,36,49
120,49,24,24,36,50
121,49,24,24,37,50
122,50,25,25,37,51
123,50,25,25,38,51
124,51,25,25,38,52
125,51,25,25,38,52
126,52,26,26,39,53
127,52,26,26,39,53
128,53,26,26,40,54
129,53,26,26,40,54
130,54,27,27,40,55
131,54,27,27,41,55
132,55,27,27,41,56
133,56,28,28,42,56
134,56,28,28,42,57
135,57,28,28,42,58
136,57,28,28,43,58
137,58,29,29,43,59
138,58,29,29,44,59
139,59,29,29,44,60
140,59,29,29,44,60
141,60,30,30,45,61
142,60,30,30,45,61
143,61,30,30,46,62
144,61,30,30,46,62
145,62,31,31,46,63
146,62,31,31,47,63
147,63,31,31,47,64
148,64,32,32,48,64
149,64,32,32,48,65
150,65,32,32,48,66
151,65,32,32,49,66
152,66,33,33,49,67
153,66,33,33,50,67
154,67,33,33,50,68
155,67,33,33,50,68
156,68,34,34,51,69
157,68,34,34,51,69
158,69,34,34,52,70
159,69,34,34,52,70
160,70,35,35,52,71
161,70,35,35,53,71
162,71,35,35,53,72
163,72,36,36,54,72
164,72,36,36,54,73
165,73,36,36,54,74
166,73,36,36,55,74
167,74,37,37,55,75
168,74,37,37,56,75
169,75,37,37,56,76
170,75,37,37,56,76
171,76,38,38,57,77
172,76,38,38,57,77
173,77,38,38,58,78
174,77,38,38,58,78
175,78,39,39,58,79
176,78,39,39,59,79
177,79,39,39,59,80
178,80,40,40,60,80
179,80,40,40,60,81
180,81,40,40,60,82
181,81,40,40,61,82
182,82,41,41,61,83
183,82,41,41,62,83
184,83,41,41,62,84
185,83,41,41,62,84
186,84,42,42,63,85
187,84,42,42,63,85
188,85,42,42,64,86
189,85,42,42,64,86
190,86,43,43,64,87
191,86,43,43,65,87
192,87,43,43,65,88
193,88,44,44,66,88
194,88,44,44,66,89
195,89,44,44,66,90
196,89,44,44,67,90
197,90,45,45,67,91
198,90,45,45,68,91
199,91,45,45,68,92
200,91,45,45,68,92
201,92,46,46,69,93
202,92,46,46,69,93
203,93,46,46,70,94
204,93,46,46,70,94
205,94,47,47,70,95
206,94,47,47,71,95
207,95,47,47,71,96
208,96,48,48,72,96
209,96,48,48,72,97
210,97,48,48,72,98
211,97,48,48,73,98
212,98,49,49,73,99
213,98,49,49,74,99
214,99,49,49,74,100
215,99,49,49,74,100
216,100,50,50,75,101
217,100,50,50,75,101
218,101,50,50,76,102
219,101,50,50,76,102
220,102,51,51,76,103
221,102,51,51,77,103
222,103,51,51,77,104
223,104,52,52,78,104
224,104,52,52,78,105
225,105,52,52,78,106
226,105,52,52,79,106
227,106,53,53,79,107
228,106,53,53,80,107
229,107,53,53,80,108
230,107,53,53,80,108
