ClassID,MHP_LV,MHP_CON,MSP_LV,MSP_INT,ATK,ATK_STR,DEF,HR,HR_DEX,DR,DR_DEX,CRTHR_DEX,CRTHR,CRTDR_DEX,CRTDR
1,318,23,279,28,0,1,0,9,0,0,0,3,0,0,48
2,361,46,330,57,0,2,0,19,0,0,2,5,0,0,60
3,404,69,381,85,0,3,0,28,0,0,4,6,0,0,72
4,446,93,433,114,0,4,0,38,0,0,6,7,0,0,84
5,489,116,484,142,0,5,0,48,0,0,8,8,0,0,96
6,532,139,535,171,0,6,0,57,0,0,10,10,0,0,108
7,575,163,587,199,0,7,0,67,0,0,12,11,0,0,120
8,617,186,638,228,0,8,0,76,0,0,14,12,0,0,132
9,660,209,689,256,0,9,0,86,0,0,16,14,0,0,144
10,703,232,741,285,0,10,0,96,0,0,18,15,0,0,156
11,746,256,792,313,0,11,0,105,0,0,20,16,0,0,168
12,788,279,843,342,0,12,0,115,0,0,22,17,0,0,180
13,831,302,894,370,0,13,0,124,0,0,24,19,0,0,192
14,874,326,946,399,0,14,0,134,0,0,26,20,0,0,204
15,917,349,997,427,0,15,0,144,0,0,28,21,0,0,216
16,959,372,1048,456,0,16,0,153,0,0,30,22,0,0,228
17,1002,395,1100,484,0,17,0,163,0,0,32,24,0,0,240
18,1045,419,1151,513,0,18,0,172,0,0,34,25,0,0,252
19,1088,442,1202,541,0,19,0,182,0,0,36,26,0,0,264
20,1130,465,1254,570,0,20,0,192,0,0,38,28,0,0,276
21,1173,489,1305,598,0,21,0,201,0,0,40,29,0,0,288
22,1216,512,1356,627,0,22,0,211,0,0,42,30,0,0,300
23,1259,535,1407,655,0,23,0,220,0,0,44,31,0,0,312
24,1301,558,1459,684,0,24,0,230,0,0,46,33,0,0,324
25,1344,582,1510,712,0,25,0,240,0,0,48,34,0,0,336
26,1387,605,1561,741,0,26,0,249,0,0,50,35,0,0,348
27,1430,628,1613,769,0,27,0,259,0,0,52,36,0,0,360
28,1472,652,1664,798,0,28,0,268,0,0,54,38,0,0,372
29,1515,675,1715,826,0,29,0,278,0,0,56,39,0,0,384
30,1558,698,1767,855,0,30,0,288,0,0,58,40,0,0,396
31,1601,722,1818,883,0,31,0,297,0,0,60,42,0,0,408
32,1643,745,1869,912,0,32,0,307,0,0,62,43,0,0,420
33,1686,768,1920,940,0,33,0,316,0,0,64,44,0,0,432
34,1729,791,1972,969,0,34,0,326,0,0,66,45,0,0,444
35,1772,815,2023,997,0,35,0,336,0,0,68,47,0,0,456
