ClassID,Price_Weapon,Price_THWeapon,Price_SHIRT,Price_PANTS,Price_GLOVES,Price_BOOTS,Price_SubWeapon,Price_NECK,Price_RING,RepairPrice_Weapon,RepairPrice_THWeapon,RepairPrice_SHIRT,RepairPrice_PANTS,RepairPrice_GLOVES,RepairPrice_BOOTS,RepairPrice_SubWeapon,RepairPrice_NECK,RepairPrice_RING
1,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
2,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
3,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
4,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
5,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
6,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
7,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
8,400,640,360,360,180,180,240,240,240,80,128,72,72,36,36,48,48,48
9,533,852,479,479,239,239,319,319,319,106,169,95,95,47,47,63,63,63
10,533,852,479,479,239,239,319,319,319,106,169,95,95,47,47,63,63,63
11,615,984,553,553,276,276,369,369,369,123,196,110,110,55,55,73,73,73
12,861,1377,774,774,387,387,516,516,516,172,275,154,154,77,77,103,103,103
13,1230,1968,1107,1107,553,553,738,738,738,246,393,221,221,110,110,147,147,147
14,2285,3656,2056,2056,1028,1028,1371,1371,1371,457,731,411,411,205,205,274,274,274
15,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
16,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
17,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
18,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
19,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
20,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
21,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
22,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
23,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
24,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
25,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
26,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
27,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
28,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
29,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
30,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
31,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
32,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
33,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
34,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
35,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
36,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
37,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
38,2880,4608,2592,2592,1296,1296,1728,1728,1728,576,921,518,518,259,259,345,345,345
39,3000,4800,2700,2700,1350,1350,1800,1800,1800,600,960,540,540,270,270,360,360,360
40,3640,5824,3276,3276,1638,1638,2184,2184,2184,728,1164,655,655,327,327,436,436,436
41,3920,6272,3528,3528,1764,1764,2352,2352,2352,784,1254,705,705,352,352,470,470,470
42,4340,6944,3906,3906,1953,1953,2604,2604,2604,868,1388,781,781,390,390,520,520,520
43,5040,8064,4536,4536,2268,2268,3024,3024,3024,1008,1612,907,907,453,453,604,604,604
44,7420,11872,6678,6678,3339,3339,4452,4452,4452,1484,2374,1335,1335,667,667,890,890,890
45,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
46,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
47,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
48,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
49,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
50,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
51,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
52,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
53,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
54,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
55,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
56,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
57,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
58,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
59,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
60,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
61,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
62,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
63,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
64,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
65,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
66,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
67,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
68,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
69,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
70,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
71,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
72,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
73,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
74,7560,12096,6804,6804,3402,3402,4536,4536,4536,1512,2419,1360,1360,680,680,907,907,907
75,8583,13732,7724,7724,3862,3862,5149,5149,5149,1716,2745,1544,1544,772,772,1029,1029,1029
76,8583,13732,7724,7724,3862,3862,5149,5149,5149,1716,2745,1544,1544,772,772,1029,1029,1029
77,8734,13974,7860,7860,3930,3930,5240,5240,5240,1746,2793,1571,1571,785,785,1047,1047,1047
78,8734,13974,7860,7860,3930,3930,5240,5240,5240,1746,2793,1571,1571,785,785,1047,1047,1047
79,8884,14214,7995,7995,3997,3997,5330,5330,5330,1776,2841,1598,1598,799,799,1065,1065,1065
80,9185,14696,8266,8266,4133,4133,5511,5511,5511,1837,2939,1653,1653,826,826,1102,1102,1102
81,9487,15179,8538,8538,4269,4269,5692,5692,5692,1897,3035,1707,1707,853,853,1138,1138,1138
82,9487,15179,8538,8538,4269,4269,5692,5692,5692,1897,3035,1707,1707,853,853,1138,1138,1138
83,10382,16611,9343,9343,4671,4671,6229,6229,6229,2076,3321,1868,1868,934,934,1245,1245,1245
84,13368,21388,12031,12031,6015,6015,8020,8020,8020,2673,4276,2405,2405,1202,1202,1603,1603,1603
85,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
86,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
87,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
88,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
89,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
90,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
91,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
92,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
93,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
94,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
95,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
96,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
97,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
98,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
99,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
100,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
101,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
102,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
103,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
104,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
105,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
106,13511,21617,12159,12159,6079,6079,8106,8106,8106,2702,4323,2431,2431,1215,1215,1621,1621,1621
107,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
108,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
109,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
110,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
111,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
112,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
113,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
114,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
115,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
116,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
117,13653,21844,12287,12287,6143,6143,8191,8191,8191,2730,4368,2457,2457,1228,1228,1638,1638,1638
118,13795,22072,12415,12415,6207,6207,8277,8277,8277,2759,4414,2483,2483,1241,1241,1655,1655,1655
119,13795,22072,12415,12415,6207,6207,8277,8277,8277,2759,4414,2483,2483,1241,1241,1655,1655,1655
120,15520,24832,13968,13968,6984,6984,9312,9312,9312,3104,4966,2793,2793,1396,1396,1862,1862,1862
121,15520,24832,13968,13968,6984,6984,9312,9312,9312,3104,4966,2793,2793,1396,1396,1862,1862,1862
122,15520,24832,13968,13968,6984,6984,9312,9312,9312,3104,4966,2793,2793,1396,1396,1862,1862,1862
123,15680,25088,14112,14112,7056,7056,9408,9408,9408,3136,5017,2822,2822,1411,1411,1881,1881,1881
124,15680,25088,14112,14112,7056,7056,9408,9408,9408,3136,5017,2822,2822,1411,1411,1881,1881,1881
125,15840,25344,14256,14256,7128,7128,9504,9504,9504,3168,5068,2851,2851,1425,1425,1900,1900,1900
126,15840,25344,14256,14256,7128,7128,9504,9504,9504,3168,5068,2851,2851,1425,1425,1900,1900,1900
127,15840,25344,14256,14256,7128,7128,9504,9504,9504,3168,5068,2851,2851,1425,1425,1900,1900,1900
128,15840,25344,14256,14256,7128,7128,9504,9504,9504,3168,5068,2851,2851,1425,1425,1900,1900,1900
129,15840,25344,14256,14256,7128,7128,9504,9504,9504,3168,5068,2851,2851,1425,1425,1900,1900,1900
130,15840,25344,14256,14256,7128,7128,9504,9504,9504,3168,5068,2851,2851,1425,1425,1900,1900,1900
131,16067,25707,14460,14460,7230,7230,9640,9640,9640,3213,5140,2891,2891,1445,1445,1927,1927,1927
132,16673,26676,15005,15005,7502,7502,10003,10003,10003,3334,5334,3000,3000,1500,1500,2000,2000,2000
133,17734,28374,15960,15960,7980,7980,10640,10640,10640,3546,5673,3191,3191,1595,1595,2127,2127,2127
134,21372,34195,19234,19234,9617,9617,12823,12823,12823,4274,6838,3846,3846,1923,1923,2564,2564,2564
135,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
136,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
137,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
138,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
139,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
140,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
141,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
142,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
143,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
144,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
145,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
146,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
147,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
148,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
149,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
150,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
151,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
152,21524,34438,19371,19371,9685,9685,12914,12914,12914,4304,6886,3873,3873,1936,1936,2582,2582,2582
153,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
154,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
155,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
156,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
157,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
158,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
159,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
160,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
161,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
162,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
163,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
164,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
165,21675,34680,19507,19507,9753,9753,13005,13005,13005,4335,6936,3901,3901,1950,1950,2601,2601,2601
166,21827,34923,19644,19644,9822,9822,13096,13096,13096,4365,6984,3928,3928,1964,1964,2619,2619,2619
167,21827,34923,19644,19644,9822,9822,13096,13096,13096,4365,6984,3928,3928,1964,1964,2619,2619,2619
168,21827,34923,19644,19644,9822,9822,13096,13096,13096,4365,6984,3928,3928,1964,1964,2619,2619,2619
169,21827,34923,19644,19644,9822,9822,13096,13096,13096,4365,6984,3928,3928,1964,1964,2619,2619,2619
170,24252,38803,21826,21826,10913,10913,14551,14551,14551,4850,7760,4365,4365,2182,2182,2910,2910,2910
171,24421,39073,21978,21978,10989,10989,14652,14652,14652,4884,7814,4395,4395,2197,2197,2930,2930,2930
172,24421,39073,21978,21978,10989,10989,14652,14652,14652,4884,7814,4395,4395,2197,2197,2930,2930,2930
173,24421,39073,21978,21978,10989,10989,14652,14652,14652,4884,7814,4395,4395,2197,2197,2930,2930,2930
174,24589,39342,22130,22130,11065,11065,14753,14753,14753,4917,7867,4425,4425,2212,2212,2950,2950,2950
175,24589,39342,22130,22130,11065,11065,14753,14753,14753,4917,7867,4425,4425,2212,2212,2950,2950,2950
176,24757,39611,22281,22281,11140,11140,14854,14854,14854,4951,7921,4455,4455,2227,2227,2970,2970,2970
177,24757,39611,22281,22281,11140,11140,14854,14854,14854,4951,7921,4455,4455,2227,2227,2970,2970,2970
178,24926,39881,22433,22433,11216,11216,14955,14955,14955,4985,7976,4486,4486,2243,2243,2991,2991,2991
179,25094,40150,22584,22584,11292,11292,15056,15056,15056,5018,8028,4516,4516,2258,2258,3010,3010,3010
180,25431,40689,22887,22887,11443,11443,15258,15258,15258,5086,8137,4577,4577,2288,2288,3051,3051,3051
181,25936,41497,23342,23342,11671,11671,15561,15561,15561,5187,8299,4668,4668,2334,2334,3112,3112,3112
182,26610,42576,23949,23949,11974,11974,15966,15966,15966,5322,8515,4789,4789,2394,2394,3193,3193,3193
183,28126,45001,25313,25313,12656,12656,16875,16875,16875,5625,9000,5062,5062,2531,2531,3375,3375,3375
184,32336,51737,29102,29102,14551,14551,19401,19401,19401,6467,10347,5820,5820,2910,2910,3880,3880,3880
185,32505,52008,29254,29254,14627,14627,19503,19503,19503,6501,10401,5850,5850,2925,2925,3900,3900,3900
186,32505,52008,29254,29254,14627,14627,19503,19503,19503,6501,10401,5850,5850,2925,2925,3900,3900,3900
187,32505,52008,29254,29254,14627,14627,19503,19503,19503,6501,10401,5850,5850,2925,2925,3900,3900,3900
188,32505,52008,29254,29254,14627,14627,19503,19503,19503,6501,10401,5850,5850,2925,2925,3900,3900,3900
