ClassID,Name,Type,Scp
1,"소드맨 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_1")"
2,"하이랜더 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_2")"
3,"펠타스타 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_3")"
4,"하플라이트 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_4")"
5,"센츄리온 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_5")"
6,"바바리안 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_6")"
7,"캐터프랙트 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_7")"
8,"커세어 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_8")"
9,"도펠쥘트너 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_9")"
10,"로델레로 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_10")"
11,"스콰이어 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_11")"
12,"무르밀로 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_12")"
13,"시노비 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_13")"
14,"펜서 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_14")"
15,"드라군 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_15")"
16,"템플러 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char1_16")"
17,"위저드 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_1")"
18,"파이로맨서 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_2")"
19,"크리오맨서 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_3")"
20,"싸이코키노 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_4")"
21,"알케미스트 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_5")"
22,"소서러 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_6")"
23,"링커 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_7")"
24,"크로노맨서 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_8")"
25,"네크로맨서 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_9")"
26,"쏘마터지 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_10")"
27,"엘리멘탈리스트 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_11")"
28,"미믹 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_12")"
29,"도사 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_13")"
30,"세이지 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_14")"
31,"워록 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_15")"
32,"페더풋 전직","치트리스트","ui.Chat("//run CHANGE_JOB Char2_16")"
