ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,Name
2,2,1000.029114,4.691100,-164.030899,0,0,""
24,3,1218.896729,4.691100,-380.219299,2,0,""
25,4,-1824,3,-566,180,0,""
26,5,-1474,24,1122,90,0,""
27,6,1176.995361,49.754410,593.075806,-3,0,""
28,7,563.211914,3.021604,-585.300903,0,0,""
30,9,910.684143,4.691100,-164.454086,-30,0,""
32,11,1051.283569,4.691100,-65.459160,-59,0,""
33,13,927.063965,3.366900,494.958771,78,0,""
45,18,826.335388,13.983800,1200.755249,-93,0,""
46,19,-970.276672,3.850700,-618.525574,26,147389,"사제"
47,27,-912.169983,3.850000,-915.219971,0,0,""
48,28,-1499.219971,3.850000,-913.369995,0,0,""
49,29,184.099792,3.089976,1074.550537,-6,0,""
50,45,-255.975784,3.320987,1353.860962,58,0,""
51,46,371.447113,3.088297,1332.722168,0,0,""
54,48,279.991608,3.102913,856.274902,-61,0,""
56,30,-1203.815186,3.850800,993.482910,-4,0,""
57,31,-1500.943115,24.687000,-1050.348389,88,0,""
61,36,1514,0.190000,-1900,-2,0,""
64,41,1029.454346,4.691100,-311.185486,0,0,""
65,41,1013.396790,3.366900,413.680176,0,0,""
66,41,718.594482,3.200314,-975.329346,0,0,""
67,41,649.987122,3.366900,675.851135,0,0,""
68,41,526.276123,3.021529,-588.219116,0,0,""
69,41,299.190094,3.011450,-889.073120,0,0,""
70,41,286.650726,2.999773,-1268.020874,0,0,""
71,41,-346.258667,3.366900,1070.532837,0,0,""
72,41,250.614334,3.088636,1211.596802,0,0,""
73,41,-152.691864,3.446250,-1264.730103,0,0,""
74,41,-319.974670,3.396327,-662.050659,0,0,""
75,41,-27.935545,3.235262,1322.126343,0,0,""
76,41,-1012.556274,3.850700,-533.513794,0,0,""
77,41,-771.434387,3.850700,-943.557800,0,0,""
78,41,928.623474,3.094800,1262.530518,0,0,""
79,41,-1583.267456,3.850700,-795.701965,0,0,""
80,41,-1446.711182,3.850700,-555.021851,0,0,""
81,41,-1599.164185,3.583498,628.044312,0,0,""
82,41,-1411.772461,3.850800,928.123718,0,0,""
83,41,-738.243774,3.850800,1011.688293,0,0,""
84,41,-491.135254,3.395623,639.082520,0,0,""
59,33,1512.179321,11.054722,-1354.951782,0,0,""
60,33,1560.593750,0.189100,-1694.008057,0,0,""
87,33,1533.395264,0.189074,-2213.589844,0,0,""
88,44,-1529.481201,3.675002,655.226685,0,0,""
89,44,-799.317322,3.850800,847.583496,0,0,""
90,44,-352.570190,3.366900,1058.590942,0,0,""
91,44,288.357544,3.091965,1260.393433,0,0,""
92,49,1542.780396,0.189100,-2296.360596,0,0,""
93,50,66.125900,3.180735,1371.247192,-57,0,""
95,47,-376.653137,3.366900,1191.563599,0,0,""
97,52,-877.760010,3.850000,992.090027,0,0,""
98,53,1580,0.190000,-1857,-92,0,""
99,54,1584.300049,0.190000,-1864.699951,0,0,""
100,55,1590,0,-1935,-92,0,""
101,42,857.338318,3.366900,661.967163,0,0,""
102,44,-1530.943237,3.850800,848.716858,0,0,""
103,44,-933.006897,3.487167,581.104126,0,0,""
104,44,-940.040771,3.850800,996.656799,0,0,""
105,44,-747.017761,3.850800,1003.539429,0,0,""
106,44,-1223.042236,3.850800,954.675537,0,0,""
107,44,-434.243408,3.390712,625.326660,0,0,""
108,44,-5.828011,3.204487,1354.277832,0,0,""
109,44,-366.938141,3.366900,1347.585327,0,0,""
110,44,-1192.836060,3.608937,675.500305,0,0,""
111,44,-666.402283,3.589463,672.324036,0,0,""
118,42,1080.811035,3.366871,357.551331,0,0,""
119,42,651.608459,3.366900,606.034546,0,0,""
121,42,913.229553,3.094800,1079.119751,0,0,""
122,42,709.940186,3.094800,1115.931152,0,0,""
123,42,926.286377,3.094800,1227.507568,0,0,""
124,42,700.136108,3.094800,1302.162231,0,0,""
125,7,277.798615,3.016588,-734.866394,0,0,""
126,7,269.802551,3.000786,-1210.694580,0,0,""
127,7,64.815758,3.012647,-1316.717285,0,0,""
128,7,688.969238,3.119528,-961.781128,0,0,""
129,7,-316.142761,3.270495,-1276.338135,0,0,""
130,7,-298.498596,3.874336,-957.456970,0,0,""
131,7,761.100464,3.020400,-1308.098511,0,0,""
132,7,-333.165253,3.381796,-625.940796,0,0,""
133,56,1149.908936,4.691139,-368.102936,0,0,""
134,56,1125.713135,9.878595,598.418945,0,0,""
135,56,-1474.388550,7.702868,1072.873657,0,0,""
136,56,-1770.909912,3.850742,-570.673279,0,0,""
137,57,1549.332642,11.057981,-1358.994263,-90,0,""
138,58,1554.030029,0.190000,-1151.270020,-82,0,""
139,59,-1353.719971,3.950000,-736.479980,0,0,""
