ClassID,GenType,PosX,PosY,PosZ,Direction,NPCID,AnchorRange,Name
1,1,744,-73,-320,-90,40001,10,"소성당 지하 1층"
2,2,-1766.532959,0.417700,422.572235,180,40001,10,"테넷 화원"
3,3,-1481,31,179,-90,40001,10,"소성당 지상 2층"
4,4,961,-79,-114,-90,40001,10,"팔라딘 마스터 추종자(A)"
5,5,-1674,1,374,20.139999,40001,10,"팔라딘 마스터 추종자(B)"
6,6,-523,10,446,-45,40001,10,"중앙 결계"
7,7,-523,13.190000,1948,-45,40001,10,"중앙 결계"
8,8,-526.125610,10.968300,-1091.657349,-45,40001,10,"중앙 결계"
9,9,-523,1,446,-45,40001,10,"중앙 결계"
37,12,-1778,0,426,1,0,0,""
101,18,1322.359985,0.160000,435.089996,180,0,0,""
127,24,850.592834,-78.775398,-174.469482,0,0,0,""
128,24,288.548065,-78.775398,-194.002533,0,0,0,""
129,24,320.741882,-78.775398,-39.397774,0,0,0,""
130,24,286.177246,0.214200,465.453247,0,0,0,""
131,24,1317.609253,0.163200,445.188446,0,0,0,""
132,24,967.530884,0.163200,421.234558,0,0,0,""
133,24,-671.626099,0.493100,570.806885,0,0,0,""
134,24,-366.609741,0.493100,278.433868,0,0,0,""
135,24,-624.214111,2.567800,1834.898193,0,0,0,""
136,24,-525.382080,0.081300,1623.066772,0,0,0,""
137,24,-561.375854,0.081300,1287.818481,0,0,0,""
138,24,-1187.469482,0.417700,457.676178,0,0,0,""
139,24,-1407.875000,0.417700,545.026184,0,0,0,""
140,24,-546.654907,0.018700,-71.953415,0,0,0,""
141,24,-533.686279,0.018700,-397.318054,0,0,0,""
142,24,-540.718445,0.417500,-851.370239,0,0,0,""
143,24,-528.143433,0.417500,-1256.984985,0,0,0,""
144,25,217.252289,0.214200,460.633270,0,0,0,""
145,10,161.610199,-78.775398,-254.406097,0,0,0,""
146,10,267.830048,-78.775398,-74.285042,0,0,0,""
147,10,371.396210,-78.775398,45.262779,0,0,0,""
152,10,410.607300,-78.775398,-245.384048,0,0,0,""
154,10,118.231056,0.214200,374.436829,0,0,0,""
156,10,296.061279,0.214200,482.722015,0,0,0,""
157,10,607.592957,-7.893700,429.772308,0,0,0,""
161,10,-412.738281,0.493100,566.370972,0,0,0,""
162,20,-427.222229,0.493100,514.199402,0,0,0,""
163,13,-581.412109,0.081300,1194.258179,0,0,0,""
164,19,-585.838135,0.018700,-286.035126,0,0,0,""
172,19,-516.018005,0.417500,-975.948303,0,0,0,""
175,19,-607.350647,0.493100,582.353149,0,0,0,""
179,19,-571.036072,0.081300,1168.121094,0,0,0,""
180,19,-381.297546,0.493100,478.403748,0,0,0,""
182,19,-522.892212,13.193100,1955.290894,0,0,0,""
188,22,-509.189209,13.193100,1938.863281,0,0,0,""
189,22,-513.919189,0.081300,1657.397461,0,0,0,""
191,22,-618.698242,0.081300,1250.984253,0,0,0,""
195,22,-475.328247,0.493100,314.499542,0,0,0,""
196,22,-420.569855,0.493100,614.107788,0,0,0,""
197,22,-718.911682,0.493100,242.455933,0,0,0,""
198,22,-532.245056,0.018700,-368.275574,0,0,0,""
201,22,-573.592468,0.417500,-1163.790649,0,0,0,""
202,22,-451.159088,0.417500,-989.357910,0,0,0,""
203,21,-375.044739,0.493100,636.900330,0,0,0,""
206,19,223.424408,0.214200,366.090637,0,0,0,""
207,19,462.981567,0.214200,496.055786,0,0,0,""
212,22,276.317566,0.214200,444.036407,0,0,0,""
215,22,-740.683411,0.493100,583.094727,0,0,0,""
217,26,-1621.656006,0.417700,294.435333,0,0,0,""
218,26,829.604675,-78.775398,-191.840607,0,0,0,""
219,26,1324.821899,8.523206,322.027039,0,0,0,""
220,26,1350.321655,9.547896,543.864197,0,0,0,""
221,20,-383.108002,0.422358,-1064.789917,0,0,0,""
222,20,-548.975220,0.081300,1285.570679,0,0,0,""
223,20,-658.091492,0.493100,609.825745,0,0,0,""
224,20,-725.063538,0.493100,329.913849,0,0,0,""
225,20,-1108.079346,0.417700,450.736298,0,0,0,""
226,20,-654.632080,0.018700,-339.082062,0,0,0,""
227,20,-659.784424,0.465205,-1073.952637,0,0,0,""
228,27,55.354809,0.214200,423.504700,0,0,0,""
229,22,-427.249390,0.081300,1285.654907,0,0,0,""
230,20,-439.533173,0.081300,1364.292847,0,0,0,""
231,20,-559.233154,0.081300,867.197876,0,0,0,""
232,11,-1148.101074,0.417700,436.582397,0,0,0,""
233,28,-429.599396,2.567800,1879.000732,0,0,0,""
234,28,-623.336121,0.081300,1357.816162,0,0,0,""
235,28,-554.266479,2.567800,2143.129883,0,0,0,""
236,28,-573.568298,2.567800,2052.593506,0,0,0,""
237,28,-667.538940,0.081300,1286.067871,0,0,0,""
238,28,-365.969055,2.567800,1989.998779,0,0,0,""
239,28,-473.324066,2.567800,1790.523682,0,0,0,""
240,28,-693.128845,2.567800,1896.424927,0,0,0,""
241,28,-472.294434,0.081300,1324.218994,0,0,0,""
242,29,-290.950012,0.520000,-1270.719971,0,0,0,""
243,10,127.572067,-78.775398,-106.744217,0,0,0,""
244,10,125.296089,-78.775398,78.707253,0,0,0,""
245,10,305.732239,0.214200,279.559937,0,0,0,""
246,10,-687.204712,0.493100,430.950867,0,0,0,""
247,10,-558.083252,0.493100,270.497070,0,0,0,""
248,10,-346.063599,0.493100,393.425110,0,0,0,""
249,10,-537.744263,0.493100,589.998657,0,0,0,""
250,19,-614.727539,0.018700,-455.187683,0,0,0,""
251,19,-432.259216,0.018700,-409.202423,0,0,0,""
252,19,160.324432,0.214200,433.591919,0,0,0,""
253,19,359.238953,0.214200,577.705933,0,0,0,""
254,19,-667.274597,0.493100,292.338776,0,0,0,""
255,19,-547.545044,0.493100,192.753235,0,0,0,""
256,19,-382.486267,0.493100,309.887817,0,0,0,""
257,19,-305.515411,0.493100,186.910614,0,0,0,""
258,19,-285.863586,0.493100,629.179626,0,0,0,""
259,19,-659.662354,0.493100,706.441406,0,0,0,""
260,19,-746.423401,0.493100,405.513855,0,0,0,""
261,19,-448.711395,0.493100,648.152649,0,0,0,""
262,19,-456.407227,0.081300,1236.108887,0,0,0,""
263,19,-579.932190,0.081300,1384.544434,0,0,0,""
264,19,-466.001587,0.081300,1371.585815,0,0,0,""
265,19,-637.854614,0.081300,1228.370605,0,0,0,""
266,19,-578.516296,2.567800,1849.536499,0,0,0,""
267,19,-403.397064,2.567800,1872.366577,0,0,0,""
268,19,-490.517242,2.567800,2070.914795,0,0,0,""
269,19,-676.173218,2.567800,2061.223145,0,0,0,""
270,19,-681.634399,2.567800,1891.269409,0,0,0,""
271,19,-365.636780,2.567800,1996.954590,0,0,0,""
272,19,-523.479431,0.446078,-1283.455566,0,0,0,""
273,19,-375.510223,0.433805,-1274.968994,0,0,0,""
274,19,-369.542847,0.417500,-999.620667,0,0,0,""
275,19,-720.669373,0.436546,-1138.432739,0,0,0,""
276,19,-325.455353,0.417500,-1160.010986,0,0,0,""
277,19,-629.082397,0.417500,-882.677551,0,0,0,""
278,22,-654.582886,0.493100,441.854980,0,0,0,""
279,22,-278.962372,3.246800,479.598114,0,0,0,""
280,22,216.218826,0.214200,303.618805,0,0,0,""
281,22,273.207245,0.214200,570.625977,0,0,0,""
282,22,-633.542358,0.018700,-320.789612,0,0,0,""
283,22,-596.677368,0.018700,-505.488556,0,0,0,""
284,22,-613.023071,0.431117,-1004.324402,0,0,0,""
285,22,-651.411255,0.438392,-1255.318481,0,0,0,""
286,22,-308.530121,0.417500,-1209.920776,0,0,0,""
