ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,1478.208008,-106.156921,-346.068970,0
2,1,2046.945068,-106.156937,-311.056824,0
3,1,2009.759399,-106.156982,350.681213,0
4,1,1473.903931,-106.156998,355.997162,0
5,1,1462.608154,-106.156898,-1215.663696,0
6,2,-1873.442993,-111.291702,-1215.838013,0
10,2,-1830.122803,-13.601719,634.776001,0
11,2,-1887.671753,-57.169300,-374.019592,0
12,3,-81.603897,-106.156898,-1244.284790,0
13,3,144.101883,-106.496208,-327.474030,0
15,3,1284.838257,-106.156898,-1246.607910,0
16,3,1511.549194,-106.156898,-1408.908203,0
17,4,-1140.747681,-106.156898,-1022.952087,0
18,4,-2103.922363,-106.127861,-1381.910156,0
19,4,-1554.444092,-13.601832,426.949738,0
20,4,234.911758,-20.820700,1131.199341,0
21,4,22.792831,-20.820700,530.764893,0
22,4,361.878174,-106.241013,-191.398254,0
23,4,-50.932899,-106.156898,-1575.608398,0
24,4,500.091248,-106.156898,-1391.309937,0
25,4,1636.760376,-106.156898,-1402.709717,0
26,4,1401.987671,-106.156914,-129.727829,0
27,4,2200.399658,-106.156914,156.777039,0
28,4,1478.675171,-106.419113,964.878418,0
29,4,1983.226318,-106.156898,-2442.036865,0
30,4,-660.186340,-106.156898,-37.330734,0
31,5,-926.874329,-107.517799,-1228.376953,0
32,6,142.343292,-106.328262,-297.327484,-45
33,7,1470.958252,-106.156898,-1229.480347,-45
34,8,-936.350525,-106.156898,-275.319641,0
35,9,-105.655533,-20.820700,621.427246,0
36,9,-105.536011,-20.820700,876.353271,0
37,9,412.978363,-20.820700,616.206909,180
38,9,412.900391,-20.820700,871.755371,180
39,10,2024.567383,-106.156898,-1779.328613,0
40,10,2017.142334,-106.156898,-1421.790405,0
41,10,2025.221069,-106.156898,-1067.645386,0
42,10,2022.423462,-106.156898,-702.085327,0
43,11,143.562988,-20.820700,1127.175293,-90
44,12,-1875.505005,-13.601800,1132.613403,-90
45,13,-229.361755,75.844803,1267.744873,180
46,14,1786.096069,-106.156898,-450.330170,0
47,15,1728.264893,-106.157013,734.744324,-90
48,16,1476.912842,-106.156898,-2237.748047,0
49,16,2006.815918,-106.156898,-2225.567383,0
50,17,243.015976,-106.156898,-1278.824951,0
52,19,-81.220993,-92.919601,-2128.662842,180
53,20,-38.839958,-106.156898,-2278.133057,0
54,20,-1848.946777,75.844803,1280.543823,0
55,20,-1881.414795,-13.601800,1049.811401,0
56,20,-1302.325684,75.844803,1267.309692,0
57,20,-763.220764,75.844803,1269.152222,0
58,20,-231.005951,75.844803,1266.892944,0
59,20,1551.387451,-106.556740,1021.626282,0
60,20,1551.828003,-106.587051,1394.441895,0
61,20,1921.872314,-106.546089,1026.304077,0
62,20,1924.395752,-106.479248,1402.210693,0
63,20,1730.725708,-106.156998,560.029602,0
64,20,1767.671143,-95.032501,1913.224731,0
65,20,1459.889404,-84.375206,2282.250000,0
66,20,1021.848999,-69.040688,2448.483643,0
67,20,597.372742,-19.371922,2265.319580,0
68,20,360.341125,58.753593,1838.022095,0
69,20,291.517334,75.845001,1378.628296,0
70,21,-28.216127,-106.156898,-2381.821777,0
71,22,-1297.079712,-106.156937,-102.251572,0
72,23,-864.136475,75.844803,1326.797241,0
73,24,1219.116821,-106.156921,-484.074982,0
74,2,-959.076050,-106.156898,-281.513306,0
75,3,1472.935547,-106.156898,-1034.922119,0
76,3,1646.036011,-106.156898,-1199.968872,0
77,3,435.728180,-106.156898,-1268.818604,0
78,3,157.732925,-106.156898,-971.539612,0
79,3,168.429993,-106.156898,-1534.390137,0
80,25,-1122.817139,-106.682800,-1198.910156,0
81,25,-1852.109985,-13.601742,564.361755,0
82,25,-1968.333862,-13.601771,448.975800,0
83,25,-1846.495483,-13.601641,875.680420,0
84,25,-775.122925,-107.517799,-1218.176392,0
85,25,-940.490234,-106.156898,-948.237122,0
86,25,-893.238586,-106.156898,-1464.672485,0
87,2,-2010.592407,-13.601747,636.639160,0
88,2,-1692.131470,-13.601727,823.591370,0
89,2,-1871.022827,-13.601796,406.942352,0
90,2,-1941.348145,-13.601633,853.682129,0
91,2,-2058.346924,-106.104301,-1066.634277,0
92,2,-2078.938477,-106.132080,-1411.248779,0
93,2,-2026.488647,-111.291702,-1254.580322,0
94,2,-1840.890747,-106.104301,-1419.933838,0
95,2,-1722.320435,-106.104301,-1055.967529,0
96,2,-1673.451782,-106.104301,-1294.138672,0
97,2,-1158.327637,-106.156898,-297.962311,0
98,2,-1165.814453,-106.157082,-26.106133,0
99,2,-657.881775,-106.156898,-10.379688,0
100,2,-697.625000,-106.156898,-471.664703,0
101,2,-1240.857910,-106.156898,-532.584595,0
102,2,-1865.097412,-26.838800,-14.496063,0
103,2,-1863.131958,-87.499802,-737.679749,0
104,25,-2104.138428,-106.104301,-1216.403442,0
105,25,-1929.264160,-106.104301,-1451.492188,0
106,25,-1719.541382,-107.227470,-1114.973145,0
107,25,-1957.341309,-106.104301,-1051.028809,0
108,25,-1771.107300,-111.291702,-1365.318481,0
109,25,-1041.889404,-106.156898,-377.830750,0
110,25,-736.407410,-106.156898,-97.540085,0
111,25,-1077.088013,-106.156929,-198.398560,0
112,25,-800.978271,-106.156898,-491.799591,0
113,3,-72.619980,-105.306007,-313.642303,0
114,3,404.192566,-106.226173,-292.541504,0
115,3,141.900543,-106.249680,-514.202087,0
116,3,168.304260,-105.917320,-111.603188,0
117,3,200.297714,-106.156898,-1262.520020,0
118,25,-1142.520630,-106.156898,-1421.547363,0
119,25,-715.740417,-106.156898,-1042.702271,0
120,25,-1184.419312,-106.156898,-528.543335,0
121,25,-1238.214722,-13.601799,622.580200,0
122,25,-1048.595459,-13.601799,666.607300,0
123,25,-964.146057,-66.779701,343.979340,0
124,25,-2041.304932,-13.601742,756.615479,0
125,25,-1885.723755,-26.838799,-24.059586,0
126,25,-1903.696045,-57.169304,-366.944824,0
127,25,-1868.293335,-87.499809,-762.515015,0
128,25,2066.472656,-106.156898,-1570.472046,0
129,25,2097.098389,-106.156898,-1254.936279,0
130,25,2039.199463,-106.156898,-882.932678,0
131,25,1452.336792,-106.156960,271.398926,0
132,25,2027.364746,-106.156967,411.368439,0
133,25,1879.622803,-106.156952,271.721161,0
134,25,1402.133789,-106.156960,451.207458,0
