ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,266.541046,9.814812,210.268082,0
2,1,7.981916,-5.732077,104.677544,0
3,1,-340.555237,45.078102,222.004669,0
4,1,40.916061,-57.147736,716.083191,0
5,1,345.138306,-61.262417,941.930115,0
6,1,-223.197754,-57.928898,863.028992,0
7,1,-723.840393,104.725388,176.339691,0
8,1,-869.602417,104.292969,-16.106262,0
9,1,-913.354553,104.362823,590.888611,0
10,1,-742.196594,104.292969,937.092407,0
11,1,-790.067078,104.986389,1528.424194,0
12,1,-768.134827,104.292969,1236.489868,0
13,1,83.453094,-57.126980,1155.778442,0
14,1,24.882362,-57.037956,1723.899536,0
15,1,172.970612,-57.037956,1578.101807,0
16,1,28.904316,-6.996558,-132.666748,0
17,1,-119.094879,-5.010530,-346.278717,0
18,1,217.746399,-1.815091,-271.519287,0
19,1,65.378845,-7.984340,-372.273682,0
20,1,62.023071,-8.429749,-705.923767,0
21,1,-353.446747,-8.429749,-803.289185,0
22,1,-1141.843018,-12.338867,-860.418579,0
23,1,-824.647522,-12.338867,-796.473022,0
24,1,-772.258484,-12.343204,-970.129333,0
25,1,-473.090607,-8.429749,-766.357178,0
26,1,402.527924,-8.429749,-780.871155,0
27,1,644.906799,-8.429749,-811.109802,0
28,1,817.455750,-8.429749,-679.857056,0
29,1,773.153564,-8.429749,-819.418213,0
31,1,1021.305115,-11.473877,-851.482727,0
32,1,1121.709229,-7.066557,-804.386719,0
33,2,1060.223511,107.313728,830.717163,0
34,2,902.830688,107.321419,723.786865,0
35,2,1054.664795,107.932777,523.969788,0
36,2,1145.153809,107.376663,395.285034,0
37,2,1028.871582,107.378433,238.412720,0
38,2,915.547791,107.655823,136.305710,0
39,2,1096.653809,107.384407,6.203056,0
40,2,1073.575439,107.193779,1351.482178,0
41,2,1084.235352,105.892670,1624.445801,0
42,2,930.417358,106.511902,1498.269165,0
43,2,1550.629761,115.204849,1453.686035,0
44,2,1790.140137,119.734444,1530.898438,0
45,2,1856.731812,119.572098,1422.140991,0
46,2,1727.172607,119.414619,1411.389648,0
47,2,670.010132,41.694450,838.942078,0
48,2,508.980591,-11.346240,770.167603,0
49,2,276.656982,-57.142326,654.911011,0
50,2,-16.315540,-54.402569,695.721558,0
51,2,211.293167,-57.142326,835.340637,0
52,2,-65.423775,-36.481213,1008.787170,0
53,2,134.256378,-57.142757,1107.677368,0
54,2,69.614319,-57.038593,1372.868286,0
55,2,125.565483,-57.037956,1738.163330,0
56,2,-109.529716,-57.037956,1715.655396,0
57,2,139.699203,-51.689079,1510.383667,0
58,2,14.348255,-6.331676,273.380676,0
59,2,7.582727,-6.496060,156.216843,0
60,2,337.314728,9.503569,216.428238,0
61,2,186.772507,-6.496033,267.780579,0
62,2,-133.208481,-5.095135,195.639252,0
63,2,67.451645,-7.219573,-180.953491,0
64,2,-56.464584,-5.640895,-317.489197,0
65,2,99.117264,-8.098380,-402.414093,0
66,2,268.953552,-0.892505,-266.842896,0
67,2,54.465073,-6.579072,-25.082048,0
68,2,107.010757,-8.429749,-583.290039,0
69,2,18.475887,-8.429749,-743.287292,0
70,2,-822.650757,-12.338867,-889.469055,0
71,2,-949.344604,-12.338867,-782.981384,0
72,2,-685.901978,-12.338867,-724.538391,0
73,2,-632.610352,-8.429749,-842.140930,0
74,2,-338.306091,-8.429749,-746.942749,0
75,2,531.513672,-8.429749,-801.807556,0
76,2,814.969238,-8.429749,-708.696106,0
77,2,908.832703,-8.429749,-828.467285,0
78,2,1061.452148,-11.473877,-791.441833,0
79,2,1076.928467,-11.021493,-714.359558,0
80,2,1182.776855,-6.204471,-924.416138,0
81,2,-391.109589,69.967178,235.856369,0
82,2,-528.818787,115.188133,211.313492,0
83,2,-742.272339,107.325012,-90.762238,0
84,2,-826.452698,106.001556,158.750198,0
85,2,-629.291809,104.491707,303.385651,0
86,2,-936.132202,104.292969,286.635803,0
87,2,-901.532349,104.578773,603.646545,0
88,2,-816.002869,108.276779,434.514160,0
89,2,-758.095520,104.292969,852.794983,0
90,2,-694.337097,108.614471,1278.099854,0
91,2,-838.151001,104.292969,1474.155518,0
92,2,-737.670715,115.041763,1629.450806,0
93,2,-668.473755,104.292969,1428.990356,0
94,2,-1738.673828,109.297791,1442.345947,0
95,2,-1787.137939,109.297791,1753.430786,0
96,2,-1584.223022,109.297791,1615.533813,0
97,2,-1725.275269,109.297791,1570.145752,0
98,2,-1506.836426,109.297791,1426.108643,0
99,2,-1268.745361,104.759529,1480.322876,0
100,2,-1127.072754,102.337929,1443.053711,0
101,2,-801.388306,112.920807,1658.598999,0
102,3,-741.337402,107.481903,424.512085,0
103,3,-796.989197,104.292969,621.083618,0
104,3,-711.157471,104.292969,907.429932,0
105,3,-731.579651,104.295441,1310.393433,0
106,3,-665.049683,107.325073,1584.304321,0
107,3,-892.869690,106.421761,1529.987671,0
108,3,-1213.692627,105.989388,1511.928833,0
109,3,-1665.388428,109.297791,1733.994507,0
110,3,-1645.588379,109.297791,1402.841309,0
111,3,-1782.974121,109.297791,1647.978394,0
112,3,-793.731079,104.292969,196.220444,0
113,3,-688.618835,104.127373,-85.506180,0
114,3,-828.019226,107.325020,-100.443787,0
115,3,-563.317200,102.303864,81.841339,0
116,3,-79.574974,-6.215096,203.027588,0
117,3,62.717163,-6.641685,-81.137001,0
118,3,16.715214,-8.339815,-452.096191,0
119,3,-122.969360,-4.320755,-359.369873,0
120,3,83.338745,-7.644838,-300.350555,0
121,3,290.028595,-1.660385,-288.072571,0
122,3,207.669540,-8.245515,-431.423645,0
123,3,68.011787,-8.429749,-747.109131,0
124,3,-171.246231,-8.429749,-797.535461,0
125,3,-409.568817,-8.429749,-752.308777,0
126,3,-983.276001,-12.338867,-881.123474,0
127,3,-1033.697266,-12.371675,-718.254028,0
128,3,-757.310181,-12.338867,-743.677551,0
129,3,-768.505615,-12.341303,-935.354980,0
130,3,-532.058655,-8.429749,-747.511536,0
131,3,-443.865234,91.699936,240.413498,0
132,3,-298.445160,26.761463,265.761566,0
133,3,-876.003784,112.288559,1707.487427,0
134,3,-675.079163,104.292969,1459.101807,0
135,2,922.628418,107.304977,429.887787,0
136,4,2002.300903,227.990982,-850.641418,2
137,5,2002.358643,228.013504,-849.624207,2
