ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-93.152405,254.128967,553.976746,-90
2,2,989.953613,254.140701,-57.536465,0
3,3,1105,361,-998,0
4,4,1187,255,-175,0
5,5,46,255,448,0
6,6,421,255,441,0
7,7,1056,254,990,0
8,8,1102,297,1550,0
9,9,1123,297,1884,0
10,10,1458,183,429,0
15,12,-1517.257813,395.551819,-147.416779,0
16,12,-796.713318,395.551788,1020.445374,0
17,13,-1491.346313,395.551819,908.130005,0
18,13,-776.640015,395.551788,-235.519974,0
19,14,1080.051025,182.784103,403.754852,0
20,15,1103.112915,296.558197,1704.945557,0
21,16,1096.546143,360.495605,-1130.944824,0
22,16,-50.130383,254.128952,430.409760,0
25,17,-1555.727295,395.551819,984.988770,0
26,18,-1515.946655,395.551819,1210.292480,0
27,18,-1565.403809,395.551819,-148.391449,0
28,19,-1498.476929,395.551788,929.052551,0
29,19,-1644.324707,395.551788,-75.785889,0
30,19,-752.535095,395.551788,428.858124,0
31,19,-1540.242554,395.551788,425.385040,0
32,19,-745.928223,395.551788,911.609863,0
33,19,-708.450989,395.551788,-224.585754,0
34,19,1288.877930,182.784103,402.800354,0
35,19,1195.162598,296.558197,1618.841187,0
36,19,1656.346802,395.464111,-1352.102417,0
37,19,1532.169434,395.464111,-1650.484253,0
38,19,756.802246,395.464111,-1615.320801,0
39,18,-740.063721,395.551819,-282.599396,0
49,17,-776.325134,395.551819,964.685852,0
50,17,-596.703674,395.551788,985.531372,0
51,17,-933.094910,395.551788,1132.048584,0
52,17,-754.421570,395.551819,421.245728,0
53,17,-1371.299561,395.551788,380.410278,0
54,17,1683.367065,395.464111,-1444.217896,0
55,17,1686.356323,395.464111,-1703.521973,0
56,17,1337.780884,395.464111,-1526.847168,0
57,17,896.944946,395.464111,-1582.219604,0
58,17,743.694946,395.464111,-1731.040161,0
59,20,-421.494965,320.630096,397.880615,0
60,20,-805.444885,395.551788,-387.377960,0
61,20,-735.521179,395.551819,-267.167053,0
62,20,-593.151428,395.551819,-284.013458,0
64,20,-951.722473,395.551788,-260.270660,0
70,20,-1546.391724,395.551788,1017.337708,0
71,20,-1512.286377,395.551819,21.911163,0
72,20,-952.666626,395.551788,1029.961670,0
73,20,-658.199768,395.551788,1057.117798,0
76,20,-688.146179,395.551788,-144.159424,0
77,21,-1519.797485,395.551788,-141.953308,0
80,21,-652.917725,395.551788,-159.944321,0
81,21,-711.322388,395.551819,-445.240051,0
83,21,-1410.549194,395.551788,-5.024622,0
84,21,-1459.931519,395.551788,-324.936371,0
85,21,-1650.414917,395.551788,-201.560135,0
86,21,-1629.753540,395.551788,6.962729,0
87,21,-1539.294067,395.551788,594.499756,0
89,21,629.668091,395.464111,-1728.902100,0
90,21,671.454895,395.464111,-1483.112183,0
91,21,1068.355591,395.464111,-1536.177856,0
92,21,1568.841919,395.464111,-1796.547607,0
93,21,1655.947388,395.464111,-1352.781372,0
94,22,1041.867065,296.558197,1709.221313,-30
95,23,1046.442627,296.558197,1676.101074,0
97,24,-834.516235,395.551819,989.734985,0
98,18,-774.851685,395.551819,923.759460,0
99,18,-726.092163,395.551819,407.871490,0
100,18,-1551.742310,395.551819,406.853516,0
103,18,534.915161,395.464050,-1475.761841,0
104,18,733.329041,395.464050,-1729.727173,0
105,18,1498.882568,395.464050,-1439.099854,0
106,18,1593.774414,395.464050,-1694.550781,0
107,20,-1709.611450,395.551819,-82.689003,0
108,20,-1609.381836,395.551819,-328.679871,0
109,20,-746.059021,395.551819,864.670410,0
110,20,-1574.900146,395.551819,854.990845,0
111,20,-776.007874,395.551819,418.920990,0
112,20,-1591.801392,395.551819,429.916992,0
113,20,-1078.208984,395.551819,433.100281,0
114,20,-819.025391,395.551819,-130.240936,0
115,21,-887.436218,395.551819,910.338257,0
116,21,-662.449585,395.551819,969.956421,0
117,21,-908.348145,395.551819,1085.887695,0
118,21,-782.976440,395.551819,1074.864380,0
119,21,-849.284546,395.551819,-104.572319,0
120,21,-964.950012,395.551819,-282.491089,0
121,24,-781.315491,395.551819,-283.568665,0
122,24,-1484.383423,395.551819,-135.637405,0
123,24,599.217102,395.464050,-1563.888306,0
124,24,1571.504639,395.464050,-1499.573120,0
125,18,-1471.941895,395.551819,1088.521118,0
126,18,-1631.776245,395.551819,1044.507813,0
127,18,-1543.244263,395.551819,866.258057,0
128,18,-1429.952026,395.551819,817.861084,0
129,18,-1704.279419,395.551819,-60.117588,0
130,18,-1647.219116,395.551819,-280.812836,0
131,18,-1450.008179,395.551819,-163.148270,0
132,18,-1461.619263,395.551819,18.161314,0
133,18,-1532.901123,395.551819,724.555908,0
134,25,-972.239990,395.649994,-460.239990,0
