ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,2234.639160,1.219482,-155.301361,-1
2,2,-1341.432861,187.378906,169.373169,178
3,3,1128.304199,51.824738,2440.077637,89
4,4,2067.317139,1.219482,-118.532967,0
5,4,1902.789673,1.219482,-131.958679,0
6,4,1963.741943,1.219482,299.722260,0
7,4,1966.987183,1.219482,640.135437,0
8,4,1658.117676,1.219482,-814.678894,0
9,4,1548.414307,1.219482,-964.408081,0
10,4,1694.111572,138.165161,-1487.146240,0
11,4,1517.244507,139.155884,-1817.643311,0
12,4,1190.875732,138.165161,-1605.059814,0
13,4,945.592285,138.165161,-1674.083862,0
14,4,606.797363,138.165161,-1668.183228,0
15,4,375.673035,138.369720,-1608.977295,0
16,4,-511.503357,1.219482,-1002.033203,0
17,4,-204.400055,1.219482,-1200.970093,0
18,4,-206.283417,1.219482,-927.269348,0
19,4,154.012024,1.219482,-444.586639,0
20,4,288.234772,93.457947,125.098557,0
21,4,583.362915,93.457947,348.710236,0
22,4,435.464569,104.286247,1103.213745,0
23,4,802.801514,104.286247,1098.021851,0
24,4,1014.300171,104.286247,1170.706177,0
25,4,1164.681519,55.746307,1979.369507,0
26,4,333.455780,-31.530569,1979.783081,0
27,4,-118.165421,-31.530563,2041.451782,0
28,4,-572.307007,187.378906,-71.248055,0
29,4,-669.496094,187.378906,278.519714,0
30,4,-940.320740,187.378906,13.787344,0
31,4,-869.521973,923.673462,906.421143,0
32,4,-988.728821,923.673462,1290.397461,0
33,4,-615.411133,923.673462,1167.139771,0
34,5,1149.068726,-10.518555,-281.301941,-13
35,6,1188.845703,-10.518555,-350.103241,31
36,7,1424.451294,-10.518555,-2.292876,-94
37,8,1243.176636,-10.518555,-25.923836,-52
38,9,-801.395264,187.378906,148.530136,0
39,10,509.234436,138.165161,-1839.062622,0
40,11,433.110962,104.286247,1283.318237,0
41,12,1987.750854,1.219482,1009.201782,0
42,13,509.234436,138.165161,-1591.869385,0
43,14,433.110962,104.286247,1283.318237,0
44,15,1987.750854,1.219482,1009.201782,0
45,16,1602.030884,-9.109555,-118.474037,0
46,17,544.062744,138.165161,-1647.976074,0
47,18,1634.834961,1.219482,-872.169006,0
48,19,393.518768,104.286247,1132.529785,0
49,20,509.234436,138.165161,-1839.062622,0
50,21,433.110962,104.286247,1283.318237,0
51,22,419.402649,93.457947,227.026978,0
52,23,847.545959,104.286247,1246.018433,97
53,23,254.315521,104.286247,1182.443237,134
54,23,-366.703491,1.219482,-825.015320,0
55,24,1104.872314,104.286247,1217.516968,0
56,24,797.642700,104.286247,956.111145,0
57,24,-100.899597,1.219482,-981.628540,0
58,25,451.523743,104.286247,984.990662,0
59,25,-229.400238,1.219482,-1206.684448,-164
60,25,-208.734146,1.219482,-815.033386,0
61,25,1116.417603,104.286247,1010.689819,0
62,26,-452.190521,1.219482,-1207.050781,-41
63,26,-469.840973,1.219482,-945.714966,-41
64,26,-59.103951,1.219482,-1124.790405,-41
65,27,1460.793213,1.219482,-881.581543,-41
66,27,1685.933228,1.219482,-985.471436,-41
67,27,1683.602783,1.219482,-769.501404,-41
68,28,1438.854614,1.219482,-797.667542,-142
69,29,1314.470093,-10.518555,-159.267838,0
100,100,315.912659,93.457947,184.371002,0
101,101,-925.708740,187.378891,-106.832764,0
102,101,-1013.120911,187.378906,79.468498,0
103,101,-933.660461,187.378906,248.157928,0
104,101,-759.100037,187.378906,297.273438,0
105,101,-662.251160,187.378906,215.007706,0
106,101,-748.640686,187.378906,30.613403,0
107,101,-851.325195,187.378906,-26.727058,0
108,101,-641.368042,187.378906,-125.629143,0
109,101,-579.109070,187.378906,-15.455341,0
110,101,-501.883545,187.378906,219.019012,0
111,101,-451.374512,187.378906,350.278076,0
112,101,-1113.416138,187.378906,270.938202,0
113,101,-1103.200806,187.378906,-46.731388,0
114,101,-794.628418,187.378906,443.635406,0
115,101,-528.215149,187.378906,-150.609467,0
116,101,-654.299011,187.378906,109.744141,0
117,101,-470.747284,187.378906,10.118132,0
118,102,319.754181,93.457947,59.393822,0
119,102,233.412109,93.457947,195.105560,0
120,102,437.819977,93.457947,419.556946,0
121,102,648.484131,93.457947,359.855621,0
122,102,621.476746,93.457947,240.583435,0
123,102,505.445618,93.457947,51.616928,0
124,102,429.281219,93.457947,241.790512,0
125,102,381.130463,93.457947,129.531647,0
126,102,278.156738,93.457947,295.650513,0
127,102,-315.452789,1.219482,-1180.004517,0
128,102,-338.755768,1.219482,-909.729309,0
129,102,-364.631622,1.219482,-1047.949097,0
130,102,-240.064865,1.219482,-1057.983643,0
131,102,-121.210701,1.219482,-1081.810669,0
