ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,434.883301,-109.098503,375.222870,0
2,2,684.438110,-109.098503,125.729973,0
3,3,-938.500244,-0.241100,1209.387939,0
4,3,-493.031158,-0.241100,1000.248901,0
5,3,-56.990868,-0.241100,1443.993408,0
6,3,179.061371,-0.241100,1491.495361,0
7,3,771.855469,108.887604,1493.055664,0
8,3,1011.819397,108.887604,1357.906860,0
9,3,293.325073,-109.098503,487.701721,0
10,3,615.364319,-109.098503,164.467957,0
11,3,852.548523,-109.098503,-73.596130,0
12,3,978.623718,-131.909622,440.621246,0
13,3,1370.863892,-141.636002,648.316589,0
14,3,1431.654053,-141.154648,215.759262,0
15,3,1390.559692,-138.923492,-576.362671,0
16,3,1671.181763,-138.923492,-587.139526,0
17,3,1506.637207,-138.723846,-831.042480,0
18,3,424.111359,20.587500,-686.207153,0
19,3,-130.073151,20.587500,-1011.793823,0
20,3,-370.881500,20.587500,-885.142578,0
21,3,-920.986572,-109.098503,-248.448898,0
22,3,-514.107361,-109.098503,-61.710472,0
23,3,-564.756348,-109.098503,-291.657440,0
24,3,-962.829102,-109.098503,-430.089844,0
