ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,1527.471924,6.304600,-1336.255981,-66
2,2,-1546.428833,-41.216400,-34.851425,177
3,3,235.615967,1.448200,1471.118896,88
4,13,-779.262939,-41.216400,-472.163971,0
5,14,-369.105377,-41.216381,203.568466,-87
6,15,413.745392,6.304600,-329.014526,0
7,20,-769.808350,-41.216400,951.023438,0
8,21,361.737335,-41.216400,553.801147,0
9,22,1160.657593,6.304600,274.916321,0
10,24,1378.125244,-21.154800,246.263000,0
11,25,1381.192871,6.304600,1060.798828,0
12,26,1307.158447,6.304600,-1002.712219,0
13,27,-955.819092,6.476000,-1306.431030,0
14,28,-916.445679,36.773491,-1116.256348,-90
15,29,-233.037842,-203.606293,-360.996918,-99
16,30,-666.202637,-121.936897,-857.230957,-139
23,37,-1196.623047,6.560500,625.518921,0
24,38,406.009003,-41.216400,366.878296,0
25,39,-877.263000,6.476000,-1008.566101,0
26,39,-1052.079834,-41.216400,-492.558136,0
27,39,-381.996521,-203.606293,-339.501770,0
28,39,-428.338684,-41.216393,13.714777,0
29,39,-1154.811646,-41.216400,-19.991192,0
30,39,-595.238647,-41.216400,-116.818428,0
31,39,-881.718140,-41.216400,-312.544189,0
32,39,-959.487305,-41.216400,77.753044,0
33,40,-1140.754150,6.560500,521.677734,0
34,41,1406.118652,6.304600,1074.901611,0
35,40,-932.902710,6.560500,516.343506,0
36,40,-1201.734253,6.560500,811.497864,0
37,40,-1318.324829,6.560500,668.158081,0
38,40,-1315.960938,6.560500,479.116302,0
39,40,-1270.986328,1.604717,327.920898,0
40,40,-1112.294800,-41.216400,257.122711,0
41,40,-975.503174,-41.216309,398.027893,0
42,40,-1187.856201,6.560500,387.872406,0
43,40,-740.308228,-41.216400,677.349854,0
44,40,-786.482849,-41.216400,315.954529,0
45,20,-789.872620,-41.216400,824.634094,0
46,20,-727.840698,-41.216400,668.333679,0
47,20,-551.229492,-41.216400,635.424255,0
48,20,-485.755707,-41.216400,941.207397,-87
50,42,-951.019470,6.476000,-1351.084961,0
51,42,-884.818787,6.476000,-1099.831055,0
52,42,-168.015915,-203.606293,-406.018463,0
53,42,-652.652588,-121.936897,-897.935852,0
54,43,-1419.689819,-41.216400,1.183612,0
55,42,-614.370972,-41.216400,1058.820435,0
56,42,-658.510437,-41.216400,999.887207,0
57,43,-511.109833,-41.216400,1009.070923,-101
58,43,-114.101334,-41.216400,825.194397,-78
59,42,-53.083820,-23.611361,856.404175,0
60,44,1004.970215,6.304601,571.814331,0
61,44,1094.287720,6.304600,731.913208,-71
62,42,1616.201294,6.304600,-1155.165649,0
63,43,-934.256836,6.476000,-1386.791260,0
64,45,-1279.087769,6.560500,390.106537,0
65,45,-1004.445313,-41.216362,271.213928,0
66,45,-1147.028687,6.560500,533.832520,0
67,45,-682.705444,-41.216400,909.553650,0
68,45,-524.147034,-41.216400,933.332092,0
69,45,-660.328247,-41.216400,759.804871,0
70,45,-891.285828,-41.216339,387.678223,0
71,45,-217.342911,6.476013,-1055.241821,0
72,45,-243.073593,6.476013,-1261.011963,0
73,45,-182.223663,-41.216400,-170.765915,0
74,45,-32.588661,-41.216400,-434.467041,0
75,45,134.776306,-41.216400,-318.301025,0
76,45,-13.896763,-41.216400,-287.830444,0
77,45,286.161835,-41.216400,373.717651,0
78,45,399.635803,-41.216400,225.760483,0
79,45,488.428375,-41.216400,441.728027,0
80,45,55.388714,1.448200,1172.154297,0
81,45,137.012726,1.448200,1349.864136,0
82,45,291.341827,1.448200,1112.390137,0
83,45,61.080856,1.448200,1001.257324,0
84,46,838.521423,6.304668,287.200989,0
85,46,918.288513,6.304600,453.696899,0
86,46,1002.066711,6.304600,288.509552,0
87,46,1378.340576,-21.154800,372.761444,0
88,46,1480.675781,-21.154800,194.649323,0
89,46,1303.958252,-21.154800,198.147003,0
90,46,63.554504,6.304600,32.429951,0
91,46,288.543427,6.304600,-122.793449,0
92,46,702.128784,6.304600,-100.057060,0
93,46,1256.171265,6.304600,-899.196716,0
94,46,1306.729248,6.304634,-1244.573853,0
95,46,1494.451050,6.304629,-1114.769043,0
96,46,1419.386719,6.304600,-905.176819,0
97,46,1198.254395,6.304626,-1092.403442,0
98,46,1293.028320,6.304662,916.903564,0
99,46,1292.957031,6.304600,1141.554810,0
100,46,1486.157959,6.304600,1020.164429,0
101,46,-217.621521,-31.534187,182.561005,0
102,45,-1243.354370,6.560500,700.037903,0
103,46,-353.273895,6.476013,-1088.476685,0
104,46,-104.570168,6.476013,-1057.811157,0
105,46,358.261108,57.609699,-1102.514160,0
106,46,539.436035,57.609699,-1072.575195,0
107,46,-138.426620,6.476000,-1171.538574,0
109,47,315.511932,-41.216400,471.604950,0
114,4,-1250.312866,-41.216400,-270.355835,0
115,49,-1226.021484,-41.216400,-216.433792,0
116,49,-994.421570,-41.216400,-304.113434,0
117,49,-1104.571045,40.669498,-1123.105591,0
118,49,-750.324036,6.476000,-1112.087891,0
119,49,-297.452606,6.476000,-1146.501587,0
120,49,-398.227631,-203.606293,-555.372192,0
121,49,275.569489,57.609699,-1104.915283,0
122,49,567.839905,57.609699,-1173.759277,0
123,49,-823.712036,6.476000,-838.136169,0
124,49,-568.653564,-41.216400,-227.327209,0
125,49,-608.880920,-41.216351,99.421051,0
126,49,-1013.071899,-41.216377,237.172562,0
127,49,-1168.796387,6.560500,613.777344,0
128,49,-587.210022,-41.216400,838.853455,0
129,49,-153.740265,-41.216400,686.622620,0
130,49,62.175880,1.448200,1073.150757,0
131,49,208.809814,1.448200,1297.332275,0
132,49,-258.067657,-41.216400,230.785873,0
133,49,218.527390,-41.216400,416.585510,0
134,49,480.037659,-41.216400,409.737457,0
135,49,3.106400,-41.216400,-316.026245,0
136,49,185.827515,6.304600,-58.321091,0
137,49,597.103333,6.304600,-328.393463,0
138,49,832.156738,6.304600,-646.197205,0
139,49,1367.493652,6.304600,-823.893433,0
140,49,1302.480225,6.304600,-1229.895508,0
141,49,1341.364136,-21.154800,106.582672,0
142,49,1481.602173,-21.154800,424.375000,0
143,49,1047.080688,6.304600,258.936768,0
144,49,1117.717896,6.304600,630.776367,0
145,50,-1370.338379,-41.216400,-32.883095,0
