ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-841,-80,-155,-84
3,3,1296.239990,-79.459999,2145.479980,93
4,4,1072.800049,-79.459999,2046.170044,91
5,5,-611.599976,-80.050003,558.609985,-77
23,9,2314,102,-722,-133
24,10,-1626,7,-712,0
26,12,1305.199951,-79.459999,2032.660034,99
96,15,-1626.406616,7.181813,-711.470154,0
98,17,158.740005,-80.050003,796.250000,0
99,18,1283.329956,-79.650002,2141.860107,0
100,19,-2149.710693,-31.622612,-167.348923,0
101,21,-814.426147,-80.049004,1242.850586,0
104,23,-912.229980,-80.050003,2474.320068,90
108,26,599.678040,-80.449005,1066.195557,0
110,28,1401.589966,63.009998,-1251.369995,0
112,25,1417.810059,63.599998,-542.809998,0
113,25,1570.077148,62.724289,-665.966492,0
114,25,-231.389999,-6.640000,-627.090027,0
120,31,-979.278809,-80.049004,1304.109985,0
141,32,-1899.989990,-80.080002,848.299988,0
146,33,-903.890015,-80.050003,86.389999,0
147,33,-983.739990,-80.050003,469.269989,0
149,33,-845.799988,-80.050003,803.119995,0
150,33,-840.950012,-80.050003,1128.380005,0
151,33,-677.929993,-80.050003,1370.449951,0
152,33,-900.119995,-80.050003,1552.219971,0
153,33,-924.520020,-80.050003,2049.139893,0
154,33,-1455.410034,-32.270000,123.489998,0
155,33,-1786.510010,-80.080002,789.900024,0
156,33,-1563.939941,-31.620001,-34.389999,0
157,33,-1989.849976,-31.620001,-25.120001,0
158,33,-1240.390015,-31.610001,-177.610001,0
159,33,-1565.219971,7.330000,-607.650024,0
160,33,-1532.410034,7.180000,-962.679993,0
161,33,-86.440002,-6.640000,-751.289978,0
162,33,-120.019997,-6.640000,-561.690002,0
163,33,257.519989,-6.640000,-562.520020,0
164,33,24.230000,-7.040000,-122.809998,0
165,33,-133.250000,-80.050003,559.080017,0
166,33,212.229996,-80.050003,711.409973,0
167,33,453.799988,-80.050003,957.940002,0
168,33,849.090027,-80.050003,1123.119995,0
169,33,1134.270020,-80.050003,1307.760010,0
170,33,1399.260010,-79.650002,1843.619995,0
171,33,693.530029,12.440000,-497.309998,0
172,33,1377.770020,63.090000,-536.739990,0
173,33,1420.219971,63.009998,-1395.280029,0
174,33,1421.459961,63.009998,-1178.959961,0
175,33,2125.070068,102.650002,-871.719971,0
176,33,2452.050049,106.980003,-791.450012,0
178,40,-1349.540039,-79.190002,388.839996,0
179,41,174.449997,-6.640000,-266.380005,-98
181,42,946.969971,-80.050003,1188.660034,-22
184,43,-1256.872437,-31.481808,-251.395523,0
185,43,-1244.729980,-31.610001,-78.220001,0
189,43,-2102.608154,-31.622700,134.182510,0
202,25,1667.337036,72.439705,-812.064148,0
210,28,2374.319580,102.649597,-769.144592,0
211,28,2063.331543,102.649597,-914.944824,0
212,28,1375.299927,63.105515,-545.173523,0
214,26,361.829987,-80.049004,767.923401,0
216,26,658.044189,-80.049004,882.842285,0
217,26,168.045059,-80.048706,649.744324,0
227,27,341.906281,-80.449005,633.961792,0
228,27,696.899048,-80.049004,1148.245850,0
231,44,97.660004,-6.640000,-282.089996,0
232,44,-879.671143,-80.049004,24.260670,0
233,44,-1352.530029,-75.769997,348.570007,0
234,44,-632.033325,-80.049004,482.131958,0
235,44,-917.380005,-80.050003,2388.209961,0
236,45,1295.691284,-79.648499,1997.746948,0
237,47,-1017.130005,-80.050003,2085.209961,0
238,17,302.010010,-80.050003,828.440002,0
239,17,786.419983,-80.050003,1072.770020,0
240,17,751.299988,-80.050003,929.609985,0
241,17,596.119995,-80.050003,948.710022,0
242,17,602.559998,-80.050003,1083.520020,0
243,17,394.230011,-80.050003,625.599976,0
244,17,203.800003,-80.050003,574.979980,0
245,17,81.379997,-80.050003,673.669983,0
260,26,195.145325,-80.449005,781.600159,0
261,26,-63.599522,-64.193939,314.128326,0
264,26,871.210693,-80.449005,1046.680664,0
265,26,-22.636478,-80.045570,630.096619,0
267,27,694.653259,-80.049004,862.661438,0
269,27,524.680847,-80.049004,1046.483032,0
271,27,883.473877,-80.049004,1002.826416,0
275,32,-2006.716431,-31.622700,97.926048,0
276,32,-1222.404419,-31.622440,-272.653137,0
278,32,-1224.004028,-31.609837,-74.571030,0
281,32,-2096.314941,-31.622658,-52.751888,0
282,49,-1563,8,-792,-18
283,50,-755,-80,491,-55
284,44,-816.298157,-80.049004,292.259033,0
285,44,-1069.628296,-80.048988,504.505585,0
286,44,-838.969543,-80.049004,530.624878,0
287,48,-1998.111938,-31.622700,-38.803528,0
288,48,-1582.056885,7.181600,-848.881653,0
289,48,1408.368042,63.014702,-1284.464111,0
290,51,-1823,7.310000,-728,90
291,52,-978.683105,-80.049004,2391.295166,-90
292,45,1286.358154,-79.648499,1676.348999,0
293,53,-853.641296,-80.049004,844.806885,0
296,53,-902.151367,-80.049004,1212.401123,0
297,53,-667.428162,-80.049004,1188.828491,0
298,53,-648.946594,-80.049004,1380.045654,0
299,53,-870.664185,-80.049004,1455.934204,0
305,54,-805.511353,-80.049004,1153.505371,0
306,54,-935.362000,-80.049004,1013.416687,0
307,54,-891.779907,-80.049004,1349.041748,0
308,54,-882.665283,-80.049004,1685.832642,0
309,54,-966.244751,-80.049004,1543.887939,0
310,54,-638.917969,-80.049004,1243.252319,0
311,54,-937.227173,-80.049004,1204.186401,0
312,54,-764.609009,-80.049004,1481.909302,0
313,54,-1034.918213,-80.049004,1354.826782,0
314,54,-761.469910,-80.049004,946.705139,0
315,54,-578.336060,-80.049004,1140.435913,0
316,54,-650.830200,-80.049004,1389.921265,0
317,31,-1020.991272,-80.049004,1137.760254,0
318,31,-1020.103516,-80.049004,1200.141479,0
319,31,-950.838867,-80.049004,1149.676392,0
320,31,-967.089478,-80.049004,1188.633057,0
321,31,-1016.088074,-80.049004,1270.538818,0
322,31,-953.926636,-80.049004,1215.557861,0
323,31,-961.692871,-80.049004,1265.501831,0
324,31,-1012.850220,-80.049004,1324.354126,0
325,31,-1037.655518,-80.049004,1389.740479,0
326,31,-969.905029,-80.049004,1342.957520,0
327,31,-997.794678,-80.049004,1382.134766,0
328,31,-995.164429,-80.049004,1212.296143,0
329,31,-990.987732,-80.049004,1147.734741,0
330,31,-944.570313,-80.049004,1288.790771,0
333,55,-545.497864,-80.049004,1146.048462,0
334,55,-543.503479,-80.049004,1210.162354,0
335,55,-551.087891,-80.049004,1277.722534,0
336,55,-557.253418,-80.049004,1331.765259,0
337,55,-600.769714,-80.049004,1289.143188,0
338,55,-580.930847,-80.049004,1232.683960,0
339,55,-576.582031,-80.049004,1163.373901,0
340,55,-565.841492,-80.049004,1090.612793,0
341,55,-609.116455,-80.049004,1118.417603,0
342,55,-606.441772,-80.049004,1206.018066,0
343,55,-590.887451,-80.049004,1062.288696,0
344,55,-553.792114,-80.049004,1046.916016,0
345,55,-595.510864,-80.049004,1348.612549,0
346,53,-797.531982,-80.049004,1034.192261,0
347,53,-995.484558,-80.049004,1107.918091,0
348,53,-909.432129,-80.049004,1701.102051,0
349,53,-1012.984802,-80.049004,1395.816895,0
350,53,-596.729736,-80.049004,983.864868,0
351,53,-1016.129517,-80.049004,925.136902,0
352,19,-2184.054688,-31.622623,-116.809624,0
353,19,-2191.631104,-31.622673,-66.960205,0
354,19,-2175.714355,-31.622700,4.098364,0
355,19,-2198.158447,-31.622700,-18.338600,0
356,19,-2159.882568,-31.622700,48.080654,0
357,19,-2078.317871,-31.622700,-218.250031,0
358,19,-448.401245,-80.049004,593.493652,0
359,19,-394.167236,-80.049004,592.450928,0
360,19,-336.252319,-80.049004,606.028259,0
361,19,-383.674255,-80.049004,503.245300,0
362,19,-340.833130,-80.049004,511.727417,0
363,19,-274.410278,-80.047615,495.511597,0
364,19,-209.929153,-80.046227,471.908875,0
365,19,-265.094910,-80.047783,604.487061,0
366,19,-207.237411,-80.046425,613.527710,0
367,56,-442.253967,-80.049004,2141.915527,90
368,44,-515.862610,-80.049004,2060.869141,0
369,27,709.430237,-80.449013,994.764404,0
370,27,866.081726,-80.049004,1168.577271,0
371,27,188.812576,-80.449005,812.223450,0
388,43,-1685.269165,7.181600,-857.009705,0
389,43,-1705.762329,7.293466,-677.776001,0
390,43,-1676.750854,7.249519,-568.607666,0
391,43,-1512.839111,7.181600,-691.395935,0
392,43,-1499.828003,7.181600,-891.366943,0
393,43,-1572.363281,7.181600,-768.999878,0
394,43,-1331.704346,-31.209084,-145.091614,0
395,43,-1162.307373,-31.382082,-210.353622,0
396,43,-1940.879639,-31.622700,-161.063385,0
397,43,-1955.866089,-31.622700,51.002693,0
398,43,-2134.525879,-31.622698,-11.538397,0
399,43,-1960.767090,-31.622700,-34.005283,0
400,32,-1903.961060,-31.622700,-95.166748,0
401,32,-1988.440918,-31.622700,-184.651215,0
402,32,-1883.017334,-31.622700,61.372040,0
403,32,-1629.640381,7.379053,-654.932129,0
404,32,-1695.501221,7.181600,-884.581726,0
405,32,-1510.354004,7.181600,-964.322754,0
406,32,-1475.704956,7.181600,-743.884644,0
407,32,-1338.198486,-30.390888,-182.385818,0
408,32,-1151.971069,-31.220556,-180.151596,0
409,58,1443.181641,62.979263,-990.066711,0
410,25,-162.232254,-7.039702,-503.050018,0
411,25,-24.189152,-7.039709,-615.605652,0
412,25,-175.997711,-7.039709,-755.098328,0
413,25,-64.273972,-7.039702,-773.952820,0
414,25,1291.524780,62.676777,-698.268860,0
