ClassID,GenType,PosX,PosY,PosZ,Direction
3,3,200,370,-1300,11.590000
7,7,-973.570007,230.979996,983.299988,0
8,8,-985,231,1035,0
14,10,-232,233,-434,100
15,11,-1250,230,490,-30
20,16,1562.310303,371.314819,-1187.531494,-11.310000
21,17,-719.619995,236.419998,-402.600006,-141
22,19,1229.373901,99.391251,1061.999390,0
23,20,708.423157,371.314789,-1080.938843,0
25,22,888.717590,99.391251,909.910461,0
30,27,1027.660034,371.309998,-1010,0
31,27,447.510010,371.309998,-1097.550049,0
32,27,-588.229980,371.309998,-1229.239990,0
33,27,324.799988,371.329987,-544.710022,0
34,27,706.080017,371.309998,-290.920013,0
35,27,-456.760010,230.979996,-99.959999,0
36,27,-927.770020,230.979996,607.590027,0
37,27,-1169.386353,230.978699,958.242554,0
38,27,-861.936951,230.978699,1202.031494,0
39,27,558.409973,99.389999,911.880005,0
40,27,1482.989990,99.389999,1196.319946,0
41,27,1446.569946,99.389999,779.500000,0
52,29,251.460007,371.309998,-1340.349976,0
53,29,-615.500000,230.979996,-322.769989,0
54,30,-459.200012,371.309998,-1253.699951,0
57,30,-383.297577,371.314819,-1049.635986,0
59,30,-676.421997,371.314789,-1187.792236,0
62,31,-576.406921,371.314789,-1294.053711,0
63,31,-561.344360,371.314789,-1003.382324,0
65,33,217.908325,371.314789,-916.164795,-11
66,29,198.202545,371.314789,-1023.707581,0
70,29,636.465210,99.391296,622.956970,0
71,34,-1044.600464,230.978699,415.314423,0
72,35,-428.331909,230.978699,946.663574,0
73,35,-279.061707,230.978699,996.874756,0
74,35,-41.621948,230.978699,901.688171,0
75,35,-179.403839,230.978699,827.405151,0
76,35,-274.382263,230.978699,680.842529,0
82,38,-511.319733,230.978699,-277.653137,0
83,35,-330.374634,230.978699,809.693359,0
86,37,-184.359360,230.978699,746.817383,0
87,37,-166.456146,230.978699,972.177124,0
88,37,-461.657227,230.978699,904.788696,0
96,41,222.035583,371.314789,-1974.420776,-112
97,42,647.661438,371.314789,-188.881897,-90
98,43,632.880737,99.403030,596.560425,-90
99,44,-168.190735,371.314819,-1259.031860,0
100,44,-414.440491,371.314789,-1027.835449,0
101,44,1371.112793,99.391296,855.910522,0
102,44,1412.263062,99.391296,1144.656494,0
103,44,-422.561462,230.978699,895.994080,0
104,44,-118.019691,230.978699,850.282410,0
105,44,-229.295563,230.978699,1013.864014,0
106,44,-713.108704,230.978699,916.808289,0
107,44,-276.666840,230.978699,720.036194,0
108,19,1322.353760,99.391296,1162.418945,0
109,19,1409.465210,99.391296,813.663696,0
110,19,1562.932617,99.391251,883.452820,0
115,22,1286.700073,99.391251,1006.290588,0
116,22,-727.429565,230.978699,920.732056,0
117,22,1425.992310,99.391251,773.044312,0
118,46,817.109985,99.489998,707.010010,0
119,47,259.649994,371.880005,-656.010010,0
120,48,429.981567,371.314819,-890.019409,45
121,49,429.981567,371.314819,-890.019409,0
122,50,-315.600006,371.410004,-1374.849976,90
123,19,1314.502197,99.391251,946.796265,0
124,19,1470.828857,99.391251,1247.246826,0
125,19,1251.329956,99.391251,824.281372,0
126,19,871.554626,99.391251,1002.232727,0
127,19,986.226563,99.391251,879.952087,0
128,19,1082.185425,99.391251,956.549377,0
129,19,1575.124023,99.391251,1061.190430,0
130,22,-281.883118,230.978653,765.485352,0
131,22,1587.796753,99.391251,1000.539429,0
132,22,-222.110596,230.978653,964.426880,0
133,22,-451.617981,230.978653,957.015869,0
134,22,-967.261108,230.978653,874.894836,0
135,22,-883.601135,230.978653,1195.924683,0
136,22,1434.594604,99.391251,1090.466553,0
137,30,-591.791809,371.314819,-1035.259521,0
138,30,-265.299133,371.314819,-1190.629150,0
139,30,434.980377,371.314819,-598.632751,0
141,30,290.793671,371.106598,-602.745178,0
143,30,-350.238983,230.978653,-169.621536,0
145,30,-364.917603,230.978653,-398.829224,0
146,30,-521.416626,230.978653,-240.521667,0
148,30,242.043930,354.920776,-444.219666,0
150,31,-234.480484,371.314819,-1316.294678,0
151,31,-101.378448,371.314819,-1113.704224,0
152,31,283.098480,370.786743,-554.007324,0
153,31,472.863770,371.314819,-597.774841,0
154,31,417.487061,371.314819,-457.578552,0
155,31,-35.652199,280.261475,-406.463623,0
157,31,-329.741028,230.978653,-334.119324,0
158,31,-519.635742,230.978653,-272.598022,0
159,31,-482.768066,230.978653,-137.582764,0
160,44,1217.135010,99.391251,1013.372314,0
161,44,1500.034668,99.391251,992.540039,0
162,44,-450.071960,230.978653,-325.699768,0
163,44,-359.356720,230.978653,-143.973480,0
164,44,-545.967834,230.978653,-185.945847,0
165,44,-605.452698,371.314819,-1110.675781,0
166,19,1422.973755,99.391251,1066.286377,0
167,19,1476.632690,99.391251,932.325195,0
168,19,1511.197876,99.391251,753.450500,0
