ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-79,79,-1799,270
5,5,-463.650421,81.972908,-370.684662,-90
24,7,-1398.833374,203.542480,1002.484802,0
25,7,-1174.851563,215.734497,1444.414429,0
26,7,-539.881104,247.343857,1336.665283,0
27,7,-532.474609,265.110596,1551.928955,0
28,7,-748.557983,215.734497,1178.598145,0
29,7,-1550.444824,312.239105,1859.099243,0
30,7,-1071.478882,312.239105,1895.667725,0
31,7,-198.281342,215.734497,1155.024536,0
32,7,-694.686340,124.486198,745.036804,0
33,7,-1178.580322,124.486198,587.219360,0
34,7,-844.981567,124.486198,990.262512,0
35,7,-696.885498,78.799255,470.770447,0
36,7,-1331.621582,78.669098,345.561035,0
37,7,-705.044006,26.914101,207.133209,0
38,7,-352.012054,79.129166,560.492371,0
39,7,-75.359055,26.914301,46.010704,0
40,7,56.834812,26.914301,370.722809,0
41,7,-117.212868,26.914301,280.348328,0
42,7,-497.620636,49.575100,-46.801449,0
43,7,-183.745422,124.486198,851.069336,0
44,7,-1168.150879,215.734497,1182.332886,0
45,7,-1477.852051,215.734497,1374.525146,0
46,7,-776.414246,26.914101,263.555878,0
47,7,-680.129883,24.815001,-104.727837,0
48,7,-1140.560791,24.815001,-99.893631,0
49,7,-1538.117065,79.188797,-152.930313,0
50,7,-1760.801270,80.687332,-288.096313,0
51,7,-1322.541992,104.405212,-417.869537,0
52,7,-894.557129,121.777199,-390.877167,0
53,7,-709.310181,121.777199,-341.382385,0
54,7,-982.241333,121.777199,-444.030853,0
55,7,-1185.235718,122.697304,-728.034607,0
56,7,-1589.024414,122.697304,-847.220398,0
57,7,-1436.011597,122.697304,-1049.410156,0
58,7,-1218.752563,150.381302,-908.989136,0
59,7,-1415.524292,122.697304,-586.355652,0
60,7,-1006.422729,122.697304,-996.121521,0
61,7,-1091.850708,122.697304,-1250.920776,0
62,7,-826.690674,80.458771,-695.810669,0
63,7,-886.062134,122.456146,-1278.586304,0
64,7,-580.072021,80.812950,-828.503906,0
65,7,-571.481079,80.813988,-1115.202759,0
66,7,-599.847595,81.915115,-1452.639648,0
67,7,-694.289368,82.338806,-1327.038330,0
68,7,-423.830261,78.709618,322.832092,0
69,8,-1586.582886,122.697304,-814.604797,0
70,8,-1309.658936,122.697304,-698.629395,0
71,8,-1062.352661,143.394852,-881.420837,0
72,8,-1375.785034,150.381302,-972.915588,0
73,8,-1248.991089,150.381302,-930.002136,0
74,8,-1126.521973,150.381302,-956.380615,0
75,8,-1578.352173,122.697304,-1097.991211,0
76,8,-1441.477539,122.697304,-588.526489,0
77,8,-1385.590454,122.697304,-726.575989,0
78,8,-1501.478516,122.697304,-668.947144,0
79,8,-1008.742615,122.697304,-783.104370,0
80,8,-957.449097,122.697304,-1206.975830,0
81,8,-1077.294922,122.697304,-1362.565308,0
82,8,-1109.922607,122.697304,-1234.543091,0
83,8,-760.614136,83.085091,-1277.940308,0
84,8,-636.793579,81.933151,-1375.115967,0
85,8,-425.127411,80.798393,-1236.271606,0
86,8,-488.610992,81.875717,-984.778320,0
87,8,-710.522461,80.872574,-1039.433105,0
88,8,-504.870544,81.726295,-817.355103,0
89,8,-817.240479,80.698303,-785.789185,0
90,8,-816.811646,80.415199,-601.858154,0
91,8,-1005.014404,81.244118,-614.642639,0
92,8,-467.034180,82.797577,-731.342529,0
93,8,-280.742004,82.154121,-770.641296,0
94,8,187.061844,156.080795,-842.114380,0
95,8,36.992455,156.080795,-684.131226,0
96,8,1049.584839,82.809624,-414.439056,0
97,8,-58.212132,170.025970,-1083.088501,0
98,8,-201.642242,82.809601,-1441.039795,0
99,8,1083.409912,44.228600,-675.745178,0
100,8,-314.753998,80.761490,-1488.341187,0
101,8,176.503784,82.809639,-1259.120728,0
102,8,959.412415,44.228600,-823.991211,0
103,8,806.506592,25.318005,-1170.419678,0
104,8,68.755386,176.150604,-912.385254,0
105,8,-81.608856,156.087341,-926.986450,0
106,8,325.452515,128.923996,-520.906921,0
107,8,183.942764,128.923996,-584.425415,0
108,8,1075.705811,82.809647,-160.231537,0
109,8,273.256531,156.080795,-990.939514,0
110,8,31.690247,82.809631,-1333.318970,0
111,8,405.472717,82.703300,-1144.103394,0
112,8,509.464447,82.809601,-871.289490,0
113,8,657.242493,82.809601,-631.234741,0
114,8,657.885498,82.631485,-865.296082,0
115,8,544.947815,82.809601,-532.953979,0
116,8,553.683655,82.745468,-746.912170,0
117,8,817.275757,82.809654,-516.092773,0
118,9,530.688477,62.029709,-1057.816528,0
119,9,683.124146,25.104273,-1167.259766,0
120,9,644.322327,25.348925,-1340.614502,0
121,9,700.103271,25.604053,-1529.442017,0
122,9,816.599670,25.443932,-1265.775635,0
123,9,924.346741,25.468435,-1114.532471,0
124,9,761.433411,25.120058,-1048.417847,0
125,9,970.430359,44.228600,-876.477539,0
126,9,1130.940186,44.228600,-824.712708,0
127,9,1254.282715,44.228600,-606.035828,0
128,9,1046.632324,44.228600,-666.087524,0
129,9,1070.085693,82.809700,-35.469486,0
130,9,739.869751,82.809601,-608.228943,0
131,9,502.296936,82.809601,-870.832764,0
132,9,933.289124,82.809700,220.446045,0
133,9,907.856079,82.809624,-481.173279,0
134,9,404.135864,82.809616,-1069.992554,0
135,9,268.883667,82.741226,-1339.845093,0
136,9,73.972092,82.809639,-1319.945313,0
137,9,-558.314697,80.823723,-1077.069580,0
138,9,567.005249,24.973162,-1224.561035,0
139,9,-468.789124,80.806290,-908.859497,0
140,9,-379.555786,80.845779,-1118.433105,0
141,9,-751.618225,80.494934,-756.375549,0
142,9,596.982483,82.763771,-738.690186,0
143,9,1090.529053,82.809601,-385.370209,0
144,9,1081.890869,82.809631,-166.557251,0
145,9,542.189514,82.809601,-486.174438,0
146,9,1048.221680,82.809700,388.549561,0
147,9,867.525635,82.809700,112.279053,0
148,9,1094.634277,82.809700,264.018280,0
149,9,1128.609985,82.809700,115.505737,0
150,9,1154.016724,82.809700,470.019714,0
151,9,1310.694580,82.809700,354.051880,0
152,9,1178.209106,82.809662,669.229675,0
153,9,218.172363,156.080795,-887.494446,0
154,9,347.528809,128.923996,-539.749023,0
155,9,100.645897,156.080795,-763.042175,0
156,9,-94.001518,168.521698,-976.338684,0
157,9,89.173950,176.150604,-887.778870,0
158,9,-0.763233,128.923996,-1133.255493,0
159,9,-175.550171,128.923996,-1083.852295,0
160,9,-136.373413,128.923935,-751.174805,0
161,9,-28.015631,128.923996,-563.166931,0
162,9,264.722870,82.765434,-1163.674194,0
165,9,376.351959,128.923950,-660.895020,0
166,10,-527.679932,80.766418,-754.034729,0
167,10,-234.615067,82.756332,-680.355286,0
168,10,308.053284,156.080795,-979.872498,0
169,10,-263.082245,80.852325,-1382.826782,0
170,10,175.789612,82.809639,-1272.472778,0
171,10,658.870850,25.020620,-1126.719727,0
172,10,725.330505,82.800331,-722.850220,0
173,10,967.107178,82.809700,6.120071,0
174,10,1170.155273,82.809700,403.631897,0
175,10,1160.026855,82.809700,1131.364868,0
176,10,1363.805054,82.809639,913.244446,0
177,10,268.540985,128.923996,-573.429688,0
178,10,-836.305176,80.469673,-626.962219,0
179,10,-983.572510,122.697304,-912.207825,0
180,10,-830.285950,89.322746,-1288.431030,0
181,10,-348.532043,80.872597,-951.981567,0
182,10,-1161.784302,122.697304,-1201.672363,0
183,10,-1096.690063,121.696426,-407.979492,0
184,10,-1511.419556,122.697304,-549.888184,0
185,10,-1650.409546,81.882835,-357.566162,0
186,10,-342.054688,26.914120,117.164948,0
187,10,-1790.451294,78.840813,238.104813,0
188,10,-940.332397,124.486198,532.705994,0
189,10,-651.148682,124.486198,727.282166,0
190,10,-1189.889648,124.486198,810.594788,0
191,10,-778.782532,215.734497,1221.119019,0
192,10,-559.852478,265.110596,1472.996948,0
193,10,-392.490723,80.477676,-817.874817,0
194,10,917.396301,82.809616,-468.467957,0
195,10,1129.493286,82.809692,660.562744,0
196,10,1336.503296,82.809700,1488.749023,0
197,9,1218.316650,82.809677,864.320190,0
198,9,1154.622681,82.809700,1287.289185,0
199,9,1377.386475,82.809700,1060.254272,0
200,9,1347.546021,82.809700,1451.148193,0
201,9,1156.455566,82.809700,1427.984741,0
202,9,1395.898438,82.809700,1242.101929,0
203,9,1583.020630,82.809700,1258.141113,0
204,8,-1560.984375,80.426422,-266.769287,0
205,8,-1068.586670,24.848686,14.171005,0
206,8,306.034973,145.429749,-674.246704,0
207,8,-1039.938477,121.766502,-363.540527,0
208,8,-380.287018,80.803360,-1257.812622,0
209,8,1048.170288,44.228600,-895.660217,0
210,8,1079.024292,82.809700,132.669174,0
211,8,719.308350,25.655100,-1440.881348,0
212,8,608.550293,25.483126,-1457.223389,0
213,8,871.232971,25.256937,-1012.041321,0
214,8,608.486023,28.474752,-1080.312012,0
215,8,574.984192,25.142408,-1289.925903,0
216,7,-1332.505249,132.439499,661.516357,0
217,7,-1409.955200,175.037201,852.253662,0
218,7,-1223.560669,215.734497,1330.520264,0
219,7,-920.930420,215.734497,1217.157227,0
220,7,-1116.959839,124.486198,881.701294,0
221,7,-452.481323,243.382401,1065.349609,0
222,7,-499.643738,243.382401,933.533997,0
223,7,-421.796997,227.045746,1292.234863,0
224,7,-389.069763,265.110596,1672.021729,0
225,7,-466.609100,265.110687,1955.290161,0
226,7,-773.421875,312.239105,1819.595337,0
227,7,-776.029785,265.110596,1520.681030,0
228,7,90.818413,26.914301,173.226486,0
229,7,-283.229523,26.914160,88.831314,0
230,7,8.184059,26.914301,551.267517,0
231,7,-1020.090881,24.815001,-20.836395,0
232,7,-1309.445923,28.929701,-32.261852,0
233,7,-1074.951782,81.146629,-562.751160,0
234,7,-1971.636719,78.899170,498.014679,0
235,7,-2008.600098,79.012161,368.530518,0
236,7,-1778.313232,87.403313,130.862305,0
237,7,-1737.820557,79.579628,-118.910477,0
238,7,-1432.721191,122.697304,-742.987976,0
239,7,-360.788086,80.870941,-921.231567,0
240,7,-447.962372,80.853043,-1000.567078,0
241,7,-429.005585,80.741013,-1334.889526,0
