ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1874,125,-1345,-169.380005
2,2,991.452576,185.888794,1720.131348,95
3,3,-1219.033569,125.409798,-1658.297852,0
4,4,-1162.229492,125.409798,-1679.450439,165
5,5,-510.813019,0.191906,-723.683899,-73
6,6,-1172.542114,125.409798,-1632.802856,0
7,6,-1905.555786,125.403679,-1351.115234,0
8,6,1157.577271,125.409897,-1859.923584,0
10,8,-1338.993774,76.829903,218.842804,0
11,8,-1180.587646,76.829895,298.754700,0
12,8,-1063.248169,76.829895,241.759628,0
13,8,-1089.685181,76.829857,49.556385,0
14,8,-796.060913,76.829895,315.191559,0
15,8,-965.324158,76.829895,417.227051,0
16,8,-1183.860596,76.829895,480.802399,0
17,8,-1341.024048,76.829895,54.237358,0
18,8,-1250.606445,76.829895,-109.685127,0
19,8,-979.677673,76.829895,-120.315552,0
20,8,-878.181152,76.829895,67.261345,0
21,10,-327.951782,0.191902,-153.914459,-91
22,11,-676.711060,0.191902,-673.449646,-90
23,11,-508.768036,0.191902,-551.164429,-90
24,11,-250.094009,0.191902,-1025.209106,-90
25,11,-569.459717,0.191902,-959.242371,-90
26,11,175.108597,-0.104558,-409.820404,-90
27,10,-415.474792,0.191902,-209.312897,-91
28,10,-178.175842,0.191902,-246.481400,-91
29,10,9.974227,-0.030616,-320.571777,-91
30,13,-518,0.191904,-775,0
31,14,348.250854,67.526268,61.435341,-44
32,14,566.199829,67.270210,164.348938,-44
33,14,700.890503,67.721901,287.224731,-44
34,14,899.913696,67.910004,187.187454,-44
35,14,887.888367,67.910004,-37.257870,-44
36,14,862.258789,67.929802,-161.044250,-44
37,14,807.092590,67.938835,-194.675720,-44
38,14,688.920654,67.929123,-118.584557,-44
39,14,595.299683,67.946602,-237.669678,-44
40,14,423.689484,67.884026,-203.385071,-44
41,15,-547.739502,0.191902,-674.260864,-45
42,16,-508.130981,0.191902,-664.295898,-86
43,17,-448.508301,0.191907,-703.127258,-132
47,21,-1138.227295,125.409798,-1534.654419,-90
48,22,-242.702820,0.191902,-474.128540,0
49,23,1086.469482,185.888794,1184.950439,0
50,23,1408.199951,168.429245,855.614136,0
51,23,1420.942017,185.888794,1489.328125,0
52,23,1297.964722,185.888794,1278.403076,0
53,23,1065.761230,185.888794,1525.188477,0
54,23,1341.075928,185.888794,1627.351318,0
55,23,951.597351,185.888794,1481.564331,0
56,23,1470.192871,185.888794,1362.457642,0
57,23,1151.770752,185.888794,1304.515015,0
58,23,1395.076294,185.888794,1079.804199,0
59,23,1564.946289,185.888794,1232.216431,0
60,23,1222.840942,185.888794,1545.969971,0
61,23,1230.217651,185.888794,1018.851074,0
62,23,1606.895142,185.888794,1048.486084,0
63,24,-1227.310303,76.829895,0.062246,0
64,24,-1310.076050,76.829903,285.630829,0
65,24,-1100.483032,76.829895,394.404755,0
66,24,-1177.489868,76.829895,95.500885,0
67,24,-1003.020325,76.829880,-41.278996,0
68,24,-989.783936,76.829895,244.742142,0
69,24,-845.851929,76.829895,269.916107,0
70,24,-822.941956,76.829895,-45.775894,0
71,24,-1091.669922,76.829895,198.483124,0
72,24,-1214.548584,76.829895,387.123077,0
77,25,707.333984,125.409798,-1499.819214,0
78,25,848.700745,125.409813,-1510.025146,0
79,25,699.683777,125.409798,-1668.825928,0
80,25,802.992981,125.409798,-1760.257324,0
81,25,937.282288,125.409828,-1681.315918,0
82,25,1023.959595,125.409859,-1500.578979,0
83,25,945.013123,125.409813,-1439.097900,0
84,25,814.063599,125.409798,-1621.052979,0
85,25,-280.585175,125.409798,-1711.821045,0
86,25,-139.301956,125.409798,-1683.293213,0
87,25,-130.543777,125.409798,-1470.053589,0
88,25,-94.953537,125.409798,-1586.667603,0
89,25,115.578346,125.400902,-1673.043823,0
90,25,209.186752,125.409798,-1642.172485,0
91,25,-221.033981,125.409798,-1612.838379,0
92,25,19.045998,125.400902,-1657.357300,0
93,25,55.729282,125.400902,-1552.428345,0
94,24,396.584900,67.869888,-112.075607,0
97,24,624.024658,67.598335,150.516602,0
99,24,855.621277,67.909912,139.441605,0
100,24,818.969482,67.919960,-117.046600,0
101,24,1287.606201,105.428307,362.832977,0
102,24,1383.923096,105.428307,550.473267,0
103,24,1481.204346,105.428299,406.669586,0
104,24,1569.700684,105.428299,224.553558,0
105,24,1694.168823,105.428299,490.815674,0
106,25,524.731873,67.415894,66.721107,0
107,25,603.252808,67.924225,-73.313728,0
108,25,787.398376,67.891678,126.652580,0
109,25,696.666138,67.872574,38.550407,0
110,25,1436.160278,105.428299,354.841522,0
111,25,1285.657959,105.428307,417.860718,0
112,25,1483.774170,105.428513,603.398621,0
113,25,1650.888306,105.428299,488.591919,0
114,25,1366.890381,105.428368,657.111572,0
