ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,2378.388184,347.784912,184.852386,34
2,2,-2314.766602,289.167145,-647.914673,-105
3,3,-85.974388,347.784943,1318.946045,89
4,4,-1009.383423,201.767929,-2132.183105,0
5,4,-379.298553,247.103607,-1661.154541,0
6,4,-84.859390,347.784912,-789.947144,0
7,4,-894.700562,316.855530,-136.611252,0
8,4,-1798.515869,304.429108,-317.358154,0
9,4,265.335968,347.784912,-364.382416,0
10,4,-25.522402,347.784912,990.807190,0
11,4,-1218.172607,326.995056,480.826233,0
12,4,-1236.708496,384.472443,901.576172,0
13,4,983.096741,486.259003,1409.842651,0
14,4,1688.488770,347.784912,-50.243462,0
15,4,2065.777832,307.481506,-1313.123413,0
16,4,1193.057739,347.784912,31.586166,0
17,5,1423.411011,348.661194,-424.826782,-110
18,6,-265.898163,347.784943,1170.751465,-56
19,7,-1192.189697,201.767929,-2044.802979,-58
20,8,1397.935547,349.116516,-450.167480,-97
21,9,1705.939941,347.784943,3.416233,0
22,9,1392.152222,347.784943,280.648407,0
23,9,1757.554810,347.784912,237.333084,0
24,9,1977.900391,307.481506,-1060.258423,0
25,9,1713.574707,307.481506,-1288.650146,0
26,9,2092.288818,307.481537,-1648.710327,0
27,9,2222.282471,307.481506,-1401.497681,0
28,9,2581.962891,307.481506,-1185.307007,0
29,9,2220.075684,347.784912,-237.545090,0
30,10,-1087.793335,201.767914,-2408.889893,0
31,10,-943.908203,201.767883,-2567.750000,0
32,10,-1024.139404,201.767883,-2577.141357,0
33,10,-879.345093,201.767883,-2684.480469,0
34,10,-777.049316,201.767899,-2567.967773,0
35,10,-639.771606,201.767899,-2514.306885,0
36,10,-952.145691,201.767929,-2309.476563,0
37,10,-967.676147,201.767929,-2170.771240,0
38,10,-881.482178,201.767944,-2094.028076,0
39,10,-744.215271,201.767899,-2420.327393,0
40,10,-715.869202,201.767929,-2114.541748,0
41,10,-783.994385,201.767929,-2309.880127,0
42,10,-564.536743,201.767929,-2314.585693,0
43,10,-652.274719,201.767914,-1978.421997,0
44,10,-646.095154,201.767929,-1758.813477,0
45,10,-377.963593,234.577988,-1725.127075,0
46,10,-415.040802,257.887817,-1576.149048,0
47,10,-241.834381,280.432465,-1582.113037,0
48,11,1341.137451,347.784912,-93.530968,0
49,11,1629.594238,347.784943,-296.616089,0
50,11,1810.631714,347.784912,-450.027832,0
51,11,1825.775391,347.784943,-273.084747,0
52,11,1579.924316,347.784912,-107.131729,0
53,11,1523.647461,347.784943,107.554840,0
54,11,1818.557861,347.784943,31.672707,0
55,11,1986.631592,347.784912,52.675758,0
56,11,2097.083984,347.784943,42.174988,0
57,11,2154.545898,347.784912,-296.178619,0
58,11,2051.865723,347.784943,-506.703308,0
59,11,1537.701904,347.784912,-400.120514,0
60,11,1772.496582,347.784943,-94.886269,0
61,11,1700.749878,347.784912,197.469727,0
62,11,1917.275635,347.784912,238.704544,0
63,11,1236.291260,347.784912,197.125870,0
64,11,2191.080566,347.784882,-150.022552,0
65,11,1371.735474,347.784943,25.983900,0
66,11,1520.193237,347.784943,-199.893738,0
67,11,1670.099121,347.784912,131.358154,0
68,11,1229.570801,486.259033,1781.897095,0
69,11,1024.206909,486.259033,1644.750366,0
