ClassID,GenType,PosX,PosY,PosZ,Direction
2,2,-844.879639,694.980469,1762.178467,87
3,3,-2888.827637,266.143005,711.914001,-58
4,4,2.840816,333.183563,-524.410278,0
5,4,1219.517700,333.183563,-609.073914,0
6,4,1528.861572,333.183563,-431.626526,0
7,4,2020.254761,333.183563,-107.017418,0
8,4,2257.627441,333.183563,205.068787,0
9,4,1937.737183,333.183563,599.052185,0
10,4,678.778381,333.183594,-17.683138,0
11,4,710.713623,333.183563,308.309998,0
12,4,327.101135,333.183563,236.638855,0
13,4,-128.663345,454.610840,231.041443,0
14,4,-442.207214,589.198425,387.330261,0
15,4,-681.930115,694.980469,616.001770,0
16,4,-969.064392,694.980469,699.411926,0
17,4,-1257.281738,694.819763,165.168869,0
18,4,-758.899658,694.980469,1081.239258,0
19,4,-778.195618,694.980469,1483.704346,0
20,4,-1712.912598,595.634888,602.975464,0
21,4,-1710.517944,533.758057,1105.214844,0
22,4,-1431.265869,533.758057,1313.131592,0
23,4,-2195.330811,438.923248,1317.950928,0
24,4,-2819.582031,266.143005,1055.258789,0
25,4,-3211.185547,266.143005,885.408997,0
26,5,522.259766,333.183563,-695.139709,0
27,6,2256.010010,333.183563,124.570000,-43
28,7,579.937927,333.183563,-544.030579,-51
29,8,617.937439,333.183594,-540.263245,-105
30,9,1659.020386,333.183563,935.787537,-45
31,9,1659.020386,333.183563,816.217224,-45
32,9,1780.888184,333.183563,935.787537,-45
33,9,1780.888184,333.183563,816.217224,-45
34,10,-1638.317993,694.819763,57.856544,-45
35,10,-1638.317993,694.819763,-61.713776,-45
36,10,-1516.450195,694.819763,57.856544,-45
37,10,-1516.450195,694.819763,-61.713776,-45
38,11,1719.954346,333.183563,876.002380,-45
39,12,-1577.384155,694.819763,-1.928616,-45
40,13,-3010.532959,266.143005,1151.310791,0
41,13,-3073.276367,266.143005,1142.547729,-83
42,13,-2954.472656,266.143005,1039.493286,106
43,13,-3020.959473,268.714050,973.719299,-107
44,13,-3087.349365,271.861816,963.564331,-8
45,13,-3139.322998,266.143005,888.389404,0
46,13,-3128.489990,266.143005,728.043213,0
47,13,-3228.784912,266.143005,710.482056,158
48,13,-3193.814697,266.143005,808.727112,0
49,14,596.976624,333.183594,-556.230164,0
50,15,2258.123291,333.183563,117.067734,0
51,16,-850,695,1698,0
52,17,-2923,266,766,0
53,18,565.381836,333.183563,-659.539246,0
54,19,599.784912,333.183563,-564.774841,0
55,20,506.187073,333.183563,-484.760925,-69
56,20,629.833252,333.183563,-642.752014,-88
57,21,546.507507,333.183594,-459.264435,-160
58,21,697.673401,333.183594,-505.444458,-69
59,21,704.307129,333.183563,-523.601807,-67
85,32,1963.722900,333.183563,537.706604,0
86,32,1758.808960,333.183563,-184.438995,0
93,35,-1383.253540,694.819763,-129.486649,0
94,35,-1331.393921,694.819763,208.217896,0
95,35,-1164.550903,694.819763,-9.234051,0
96,35,-1622.430420,694.819763,-231.079483,0
97,35,-1666.174927,694.819763,141.771820,0
109,39,2163.716309,333.183563,328.276947,0
113,32,1360.312134,333.183563,-671.854553,0
114,32,1451.143555,333.183563,-501.312164,0
115,32,1242.802734,333.183563,-372.439270,0
116,32,-39.256763,333.183563,-471.161926,0
117,32,8.963051,333.183594,-628.745056,0
118,32,431.043701,333.183563,107.340103,0
119,32,600.968994,333.183563,171.425735,0
120,32,723.154175,333.183563,72.476257,0
121,32,566.765564,333.183563,325.729309,0
122,32,-616.707764,678.564575,557.809082,0
123,32,-334.547546,534.931030,298.134735,0
124,32,10.397789,405.984802,234.331161,0
125,32,137.703979,367.688568,257.778992,0
126,32,1776.024414,333.183563,680.667053,0
127,32,1869.379150,333.183563,854.966675,0
128,32,1631.853516,333.183563,913.003906,0
129,35,-1130.677979,711.628906,394.339417,0
130,35,-2906.646240,266.143005,1064.846680,0
131,35,-2208.072021,437.527008,1345.525513,0
132,35,-1802.612915,568.233765,943.551514,0
133,35,-851.281860,694.980469,624.044189,0
134,35,-1534.275757,533.758057,1249.367676,0
135,35,-1829.462036,595.634888,779.401917,0
136,35,-1707.767700,595.634888,579.936646,0
137,35,-1344.118774,613.777344,711.394592,0
138,35,-851.193787,694.980469,837.852905,0
139,32,-1582.869141,694.819763,-26.251808,0
140,32,-1331.436035,694.819763,-1.248894,0
141,32,-1762.306274,694.819763,-195.509628,0
142,32,-1327.434814,694.819763,-241.998840,0
143,32,-1529.457275,694.819763,124.422684,0
144,39,-126.307083,333.183563,-520.052246,0
145,39,577.275024,333.183563,28.748514,0
146,39,406.602966,333.183563,264.103821,0
147,39,745.263000,333.183563,253.651093,0
148,39,1173.823730,333.183563,-558.187439,0
149,39,1431.587280,333.183563,-291.195740,0
150,39,1533.448730,333.183563,-692.985840,0
151,39,1607.606201,333.183563,-481.598206,0
152,39,2103.356445,333.183563,-70.270012,0
153,39,1802.437134,333.183563,905.610535,0
154,32,-1016.798523,694.980469,585.196167,0
155,32,-927.412170,694.980469,738.966370,0
156,32,-809.774780,694.980469,1044.192383,0
157,32,-1219.860962,653.781189,623.982971,0
158,32,-1574.901367,595.634888,498.096893,0
159,32,-1826.613892,595.634888,636.936035,0
160,32,-1666.420654,595.634888,680.824219,0
161,32,-1681.746826,533.758057,1247.854980,0
162,32,-1401.314087,533.758057,1341.515259,0
163,32,-1785.468994,560.917480,971.575928,0
164,32,-3125.867920,266.143005,1089.847656,0
165,32,-1548.436401,533.758057,1394.698486,0
166,32,-2969.092285,266.143036,1138.728271,0
167,32,-3231.529541,266.143005,981.888184,0
168,32,-2535.364014,330.710510,1233.172485,0
169,32,-2357.758301,385.311401,1307.428467,0
170,32,-2053.926025,486.327545,1356.673096,0
171,35,-1367.144775,533.758057,1426.220947,0
172,32,-1304.384521,533.758057,1256.260010,0
173,35,-1779.333618,694.819763,-6.921368,0
174,39,-520.306641,628.173401,450.639740,0
175,39,-295.161438,516.110901,264.445068,0
176,39,170.635666,357.661865,256.927338,0
177,39,2.025616,333.183594,-641.783203,0
178,39,1438.842651,333.183563,-527.725098,0
179,39,1822.247681,333.183563,-176.139923,0
180,39,1739.212402,333.183563,737.278687,0
182,41,-214.534332,333.183563,-662.150452,0
183,42,-214.534332,333.183563,-662.150452,0
184,1,549.759888,333.183563,-861.620911,-101
185,43,-170.726654,333.183563,-634.174316,0
