ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-2118.839844,272.322510,-923.824097,180
2,2,1796.832642,248.551102,1596.425293,40
3,3,2014.392456,-13.574764,49.258507,0
4,5,1521.987671,-114.380600,-1.610678,0
5,6,1025.908203,-66.988503,-337.437988,0
6,7,119.760689,-109.685463,-495.172943,0
7,8,345.518768,-109.685448,-789.104248,0
8,9,-466.176025,0.340000,-634.263611,0
9,10,-656.600586,17.991501,-787.779419,0
10,11,-1156,135.177994,-1468,0
11,12,265.664642,-0.004200,133.765305,0
12,13,-1283.802490,115.637901,871.848816,0
13,13,-1680.620361,115.637901,974.425598,0
14,13,-1654.455322,115.637901,839.235352,0
15,13,-1423.507080,115.637901,1128.087280,0
16,13,-1468.611572,115.637901,961.822998,0
17,13,-1104.431519,115.637901,863.266724,0
18,13,-1148.774414,115.637901,1176.850586,0
19,13,-1220.107300,115.637901,1046.192017,0
20,13,-1408.783936,115.637901,747.713867,0
21,13,-1634.855225,115.637901,1175.825439,0
22,14,-835.739502,166.467697,-3.363831,0
23,15,1309.500488,241.763092,1160.577637,0
24,16,-756.650391,118.867950,267.946075,0
26,16,-313.436890,118.867950,219.924896,0
27,16,-813.816345,166.467651,-5.598984,0
28,16,-1413.574951,115.637909,813.421753,0
29,16,-1267.091309,115.637909,1062.416992,0
36,16,1568.177246,253.369202,1137.288452,0
37,17,-1001.716187,135.177994,-1603.568848,0
38,17,-1144.561646,135.177979,-1364.295776,0
39,17,-1216.521606,135.177979,-1564.779663,0
40,17,-931.353516,135.177979,-1416.349609,0
41,17,-750.987000,0.339996,-655.555908,0
42,17,-502.802338,0.339996,-676.879944,0
43,17,-674.433716,0.339996,-863.531311,0
44,17,185.172821,-109.685448,-698.753418,0
45,17,233.944717,-109.685432,-460.276306,0
46,17,442.734192,-109.685440,-633.876770,0
55,16,333.674683,-0.004154,-64.819420,0
56,16,333.324921,-0.004150,147.529755,0
58,16,-1350.187500,115.637909,944.000854,0
59,18,136.958450,116.634857,1173.000610,0
60,18,369.829254,116.634857,1032.494873,0
61,18,1306.381470,253.369202,912.305115,0
62,18,1309.269897,241.763092,1287.109863,0
63,18,1510.727417,253.369202,1003.066772,0
64,18,1529.512207,253.369202,1384.906982,0
65,18,1073.672363,253.369202,1161.216187,0
66,18,-9.463304,156.189514,922.587952,0
68,18,-647.668640,118.867943,378.994568,0
69,18,-324.957733,118.867950,77.309586,0
70,16,1211.729492,-114.380653,-93.812820,0
71,16,1316.054443,-114.380676,-604.225586,0
72,16,1617.675659,-114.380661,-545.132813,0
73,16,1630.151978,-114.380653,-95.214790,0
74,17,1214.225220,-114.380653,-338.567963,0
75,17,1711.720337,-114.380653,-355.754150,0
76,17,1444.994629,-114.380676,-620.851196,0
77,17,1446.268188,-114.380653,-89.779472,0
78,17,1453.518433,-114.380669,-432.744263,0
79,19,-2049.441650,236.120651,-929.436707,0
80,19,1903.565918,-53.555817,59.483955,0
81,19,1706.450073,248.551147,1526.394653,0
82,19,1032.603760,-66.988464,-304.631317,0
83,20,-602.128235,118.867950,249.107269,0
90,16,1117.715576,-114.380653,-531.289063,0
91,16,1408.854370,-114.380653,-306.377777,0
92,16,1525.011353,-114.380669,32.652771,0
93,17,1214.229126,-114.380653,-51.864880,0
94,17,158.266602,-109.685417,-590.738708,0
95,17,-494.951294,0.339996,-816.204834,0
96,17,258.842529,-0.004150,-62.249687,0
97,17,500.387451,-0.004150,4.990910,0
98,16,-496.600494,118.867943,338.341187,0
99,16,-1132.235107,115.637909,991.691467,0
100,16,-1572.891968,115.637909,855.427917,0
101,16,-447.804993,118.867950,60.203556,0
102,16,1278.429199,241.763092,1141.795044,0
103,16,1122.774536,253.369202,979.560608,0
104,18,-1466.509155,115.637909,960.447876,0
105,18,-1268.343140,115.637909,816.855774,0
106,18,-1493.809937,115.637909,1092.210205,0
107,18,-648.640503,118.867950,116.197243,0
108,18,-525.047180,118.867950,177.769989,0
109,18,579.752563,-0.004150,-11.577963,0
110,18,332.105286,-0.004150,68.306282,0
111,18,111.781967,13.318573,-15.605151,0
112,18,1098.457275,253.369202,1391.870605,0
113,18,961.311584,253.369202,1441.096802,0
114,18,-825.011230,118.867950,267.184967,0
115,18,-531.478821,118.867950,-104.143532,0
116,18,-472.833893,118.867943,423.281464,0
