ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-148.582581,0.337433,-891.943420,0
2,1,-157.276627,0.337433,-522.064270,0
3,1,-157.392914,0.337433,-139.198456,0
4,1,-151.131409,0.337433,394.470001,0
5,1,-811.625000,54.377426,-445.342987,0
6,1,-1132.890137,54.377426,-481.322662,0
7,1,-953.795410,56.279636,145.406555,0
8,1,-917.460693,55.855793,460.859619,0
9,1,-402.200439,52.946320,-101.588051,0
10,1,93.647430,52.946320,-117.631233,0
11,1,692.239502,54.377426,-611.627869,0
12,1,699.572632,54.377426,-257.338684,0
13,1,696.420959,55.997700,168.375763,0
14,1,782.898254,57.276215,497.587067,0
15,1,-342.947449,66.918129,1026.144043,0
16,1,-341.348053,66.919952,1262.779907,0
17,1,36.199104,66.923378,1241.915039,0
18,1,12.125877,66.967766,1019.794373,0
