ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
1,1,48004,3248,375,-1961,0,1,"부엉이 조각상"
3,3,48004,898,373,-2054,-90,1,"부엉이 조각상"
4,4,48004,-1250,595,-1590,-90,1,"부엉이 조각상"
5,5,48004,-1056,500,-435,-90,1,"부엉이 조각상"
6,10,400543,2383,373,-1744,-90,1,"지뷰 리디메드"
7,11,400543,1778,426,-281,-90,1,"지뷰 리디메드"
8,12,400543,1742,426,-129,-90,1,"지뷰 리디메드"
9,13,400543,2116,427,1344,-90,1,"지뷰 리디메드"
10,14,400543,611,527,1379,-90,1,"지뷰 리디메드"
11,15,400543,577,527,-1064,-90,1,"지뷰 리디메드"
12,16,400543,743,373,-2117,-90,1,"지뷰 리디메드"
13,17,400543,180,512,-1946,-90,1,"지뷰 리디메드"
14,18,400543,2694,373,-1947,-12,1,"지뷰 리디메드"
15,19,400543,1886,426,90,-90,1,"지뷰 리디메드"
16,20,400543,2128,426,1091,-90,1,"지뷰 리디메드"
17,21,400543,380,527,-146,-90,1,"지뷰 리디메드"
18,22,47212,1787,373,-1954,0,0,"석화물 3"
19,22,47212,1829,373,-2058,-90,0,"석화물 3"
20,22,47212,1987,373,-2155,-90,0,"석화물 3"
21,22,47212,2204,373,-2147,0,0,"석화물 3"
22,22,47212,2016,373,-1872,0,0,"석화물 3"
23,22,47212,2161,373,-1775,0,0,"석화물 3"
24,22,47212,2374,373,-1915,0,0,"석화물 3"
25,22,47212,2643,373,-1874,0,0,"석화물 3"
26,22,47212,2384,373,-2071,0,0,"석화물 3"
27,22,47212,2376,373,-2126,0,0,"석화물 3"
28,22,47212,2080,373,-2006,0,0,"석화물 3"
29,23,48004,-2236,643,1129,-45,1,"부엉이 조각상"
30,50,20026,2396,373,-946,-90,180,""
31,51,20026,2172,425,679,-90,180,""
32,52,20026,1337,429,1286,-90,180,""
33,53,20026,579,527,731,-90,180,""
34,54,20026,894,373,-1707,-90,180,""
35,55,20026,-385,504,-2445,-90,180,""
36,56,20026,-1166,574,-2055,-90,180,""
37,57,20026,-1399,595,-827,-90,180,""
38,100,400543,1667,373,-2041,-90,1,"지뷰 리디메드"
39,101,400543,1749,373,-1232,-90,1,"지뷰 리디메드"
40,101,400543,1773,373,-1177,-90,1,"지뷰 리디메드"
41,102,400543,1600,373,-2029,-90,1,"지뷰 리디메드"
42,103,400543,67,491,-1917,-90,1,"지뷰 리디메드"
43,104,48004,-54,552,-482,-90,0,"부엉이 조각상"
44,104,48004,91,552,-586,-90,0,"부엉이 조각상"
45,104,48004,8,552,-711,-90,0,"부엉이 조각상"
46,104,48004,-17,552,-797,-90,0,"부엉이 조각상"
47,104,48004,103,552,-1019,-90,0,"부엉이 조각상"
48,104,48004,167,552,-704,-90,0,"부엉이 조각상"
49,104,48004,288,552,-971,-90,0,"부엉이 조각상"
50,104,48004,393,552,-1048,-90,0,"부엉이 조각상"
51,104,48004,356,552,-752,-90,0,"부엉이 조각상"
52,104,48004,283,552,-639,-90,0,"부엉이 조각상"
53,104,48004,159,552,-450,-90,0,"부엉이 조각상"
54,104,48004,237,552,-362,-90,0,"부엉이 조각상"
55,104,48004,94,552,-305,-90,0,"부엉이 조각상"
56,104,48004,160,552,-111,-90,0,"부엉이 조각상"
57,104,48004,112,552,-207,-90,0,"부엉이 조각상"
58,207,45110,1218,373,-2158,0,10,"나무뿌리 수정"
59,207,45110,-1197,595,-1600,0,10,"나무뿌리 수정"
60,207,45110,-1810,595,223,0,10,"나무뿌리 수정"
61,207,45110,746,373,-1436,0,10,"나무뿌리 수정"
62,207,45110,1742,373,-1205,0,10,"나무뿌리 수정"
63,207,45110,363,552,-829,0,10,"나무뿌리 수정"
64,207,45110,940,429,1305,0,10,"나무뿌리 수정"
65,207,45110,1996,425,235,0,10,"나무뿌리 수정"
66,207,45110,1560,522,-473,0,10,"나무뿌리 수정"
71,997,40080,1648,373,-2046,0,10,"경고문"
72,998,40080,1126,524,-519,-90,10,"경고문"
73,998,40080,1665,373,-2030,-98,10,"경고문"
75,999,40080,1663,373,-2020,135,10,"경고문"
76,1011,48004,980,524,-600,-90,0,"부엉이 조각상"
77,1011,20024,1017,524,-595,-90,0,"투명NPC"
78,1011,20024,940,524,-678,-90,0,"투명NPC"
79,1011,20024,972,524,-791,-90,0,"투명NPC"
80,1011,20024,875,524,-755,-90,0,"투명NPC"
81,1011,20024,863,524,-681,-90,0,"투명NPC"
82,1011,20024,747,526,-654,-90,0,"투명NPC"
83,1011,20024,673,526,-722,-90,0,"투명NPC"
84,1011,20024,698,527,-591,-90,0,"투명NPC"
85,1011,20024,611,527,-592,-90,0,"투명NPC"
86,1011,20024,538,550,-628,-90,0,"투명NPC"
87,1011,20024,607,527,-478,-90,0,"투명NPC"
89,1012,400323,1806,373,-2013,-90,0,"지뷰 지그리"
90,1012,400323,1936,373,-2014,-90,0,"지뷰 지그리"
91,1012,400323,1995,373,-2114,-90,0,"지뷰 지그리"
92,1012,400323,2011,373,-2193,-90,0,"지뷰 지그리"
93,1012,400323,2107,373,-2132,-90,0,"지뷰 지그리"
94,1012,400323,2037,373,-2043,-90,0,"지뷰 지그리"
96,1012,400323,2044,373,-1872,-90,0,"지뷰 지그리"
97,1012,400323,2143,373,-2019,-90,0,"지뷰 지그리"
99,1012,400323,2268,373,-2139,-90,0,"지뷰 지그리"
101,1012,400323,2356,373,-2071,-90,0,"지뷰 지그리"
102,1012,400323,2444,373,-2152,-90,0,"지뷰 지그리"
103,1012,400323,2497,373,-2126,-90,0,"지뷰 지그리"
104,1012,400323,2695,373,-1892,-90,0,"지뷰 지그리"
106,1012,400323,2284,373,-1993,-90,0,"지뷰 지그리"
107,1012,400323,2203,373,-1872,-90,0,"지뷰 지그리"
108,1012,400323,2140,373,-1855,-90,0,"지뷰 지그리"
110,1012,400323,2432,373,-1996,-90,0,"지뷰 지그리"
111,1012,400323,2616,373,-1929,-90,0,"지뷰 지그리"
112,1012,400323,2637,373,-1831,-90,0,"지뷰 지그리"
113,1012,400323,2763,373,-1958,-90,0,"지뷰 지그리"
114,1012,400323,2176,373,-1741,-90,0,"지뷰 지그리"
115,1013,400304,2444,373,-1489,-90,0,"루다스 푸라기"
116,1013,400304,2401,373,-1413,-90,0,"루다스 푸라기"
117,1013,400304,2479,373,-1360,-90,0,"루다스 푸라기"
118,1013,400304,2376,373,-1285,-90,0,"루다스 푸라기"
119,1013,400304,2496,373,-1248,-90,0,"루다스 푸라기"
120,1013,400304,2403,373,-1195,-90,0,"루다스 푸라기"
121,1013,400304,2493,373,-1097,-90,0,"루다스 푸라기"
122,1013,400304,2372,373,-1073,-90,0,"루다스 푸라기"
123,1013,400304,2493,373,-939,-90,0,"루다스 푸라기"
124,1013,400304,2326,373,-910,-90,0,"루다스 푸라기"
125,1013,400304,2432,373,-817,-90,0,"루다스 푸라기"
126,1013,400304,2310,406,-779,-90,0,"루다스 푸라기"
127,1013,400304,2253,414,-806,-90,0,"루다스 푸라기"
128,1013,400304,2232,425,-671,-90,0,"루다스 푸라기"
129,1013,400304,2150,425,-646,-90,0,"루다스 푸라기"
130,1013,400304,2214,425,-611,-90,0,"루다스 푸라기"
131,1013,400304,2094,426,-600,-90,0,"루다스 푸라기"
132,1013,400304,2167,425,-562,-90,0,"루다스 푸라기"
133,1013,400304,2075,426,-522,-90,0,"루다스 푸라기"
134,1013,400304,2002,426,-536,-90,0,"루다스 푸라기"
135,1013,400304,1861,426,-506,-90,0,"루다스 푸라기"
136,1013,400304,1788,426,-538,-90,0,"루다스 푸라기"
137,1013,400304,2038,426,-450,-90,0,"루다스 푸라기"
138,1013,400304,2115,426,-438,-90,0,"루다스 푸라기"
139,1013,400304,2133,426,-313,-90,0,"루다스 푸라기"
140,1013,400304,2167,426,-246,-90,0,"루다스 푸라기"
141,1013,400304,2025,426,-336,-90,0,"루다스 푸라기"
142,1013,400304,1974,426,-142,-90,0,"루다스 푸라기"
143,1013,400304,1889,426,-52,-90,0,"루다스 푸라기"
144,1013,400304,2096,426,-148,-90,0,"루다스 푸라기"
145,1013,400304,2165,426,-94,-90,0,"루다스 푸라기"
146,1013,400304,2060,426,0,-90,0,"루다스 푸라기"
147,1013,400304,1961,426,67,-90,0,"루다스 푸라기"
148,1013,400304,2041,426,129,-90,0,"루다스 푸라기"
149,1013,400304,2084,425,223,-90,0,"루다스 푸라기"
150,1013,400304,2129,425,324,-90,0,"루다스 푸라기"
151,1013,400304,2164,425,447,-90,0,"루다스 푸라기"
152,1013,400304,2200,425,564,-90,0,"루다스 푸라기"
153,1013,400304,2193,425,741,-90,0,"루다스 푸라기"
154,1013,400304,2152,425,884,-90,0,"루다스 푸라기"
155,1013,400304,2105,425,1013,-90,0,"루다스 푸라기"
156,1013,400304,2207,425,951,-90,0,"루다스 푸라기"
157,1013,400304,2189,426,1051,-90,0,"루다스 푸라기"
158,1013,400304,1707,429,1317,-90,0,"루다스 푸라기"
159,1015,400564,1529,522,-530,-90,0,"지뷰 사크몰리"
161,1015,400564,1592,522,-445,-90,0,"지뷰 사크몰리"
162,1015,400564,1512,497,-300,-90,0,"지뷰 사크몰리"
163,1015,400564,1246,524,-455,-90,0,"지뷰 사크몰리"
165,1015,400564,1396,497,-485,-90,0,"지뷰 사크몰리"
166,1015,400564,1374,525,-365,-90,0,"지뷰 사크몰리"
167,1015,400564,1411,524,-227,-90,0,"지뷰 사크몰리"
168,1015,400564,1463,524,-141,-90,0,"지뷰 사크몰리"
169,1015,400564,1541,524,-59,-90,0,"지뷰 사크몰리"
170,1015,400564,1589,497,-123,-90,0,"지뷰 사크몰리"
171,1015,400564,1523,571,261,-90,0,"지뷰 사크몰리"
172,1015,400564,1540,571,180,-90,0,"지뷰 사크몰리"
173,1015,400564,1550,571,101,-90,0,"지뷰 사크몰리"
174,1015,400564,1485,571,37,-90,0,"지뷰 사크몰리"
175,1015,400564,1304,548,-162,-90,0,"지뷰 사크몰리"
176,1015,400564,1363,570,84,-90,0,"지뷰 사크몰리"
177,1015,400564,1184,571,74,-90,0,"지뷰 사크몰리"
178,1015,400564,1101,571,-24,-90,0,"지뷰 사크몰리"
179,1015,400564,1026,571,-125,-90,0,"지뷰 사크몰리"
180,1015,400564,1141,570,-138,-90,0,"지뷰 사크몰리"
183,1015,400564,1221,571,-290,-90,0,"지뷰 사크몰리"
185,1016,401163,1054,429,1194,-90,0,"변이된 데스모두스"
186,1016,401163,924,429,1454,-90,0,"변이된 데스모두스"
187,1016,401163,839,429,1387,-90,0,"변이된 데스모두스"
188,1016,401163,775,460,1227,-90,0,"변이된 데스모두스"
189,1016,401163,1133,429,1369,-90,0,"변이된 데스모두스"
192,1016,401163,678,527,1161,-90,0,"변이된 데스모두스"
193,1016,401163,806,449,1306,-90,0,"변이된 데스모두스"
195,1016,401163,560,527,1036,-90,0,"변이된 데스모두스"
196,1016,401163,581,527,1135,-90,0,"변이된 데스모두스"
197,1016,401163,650,527,1021,-90,0,"변이된 데스모두스"
198,1016,401163,1021,429,1334,-90,0,"변이된 데스모두스"
199,1016,401163,935,429,1239,-90,0,"변이된 데스모두스"
200,1016,401163,1030,429,1483,-90,0,"변이된 데스모두스"
201,1017,400344,1790,429,1305,-90,0,"루다스 피셔맨"
202,1017,400344,1603,429,1296,-90,0,"루다스 피셔맨"
203,1017,400344,1443,429,1287,-90,0,"루다스 피셔맨"
204,1017,400344,1316,429,1241,-90,0,"루다스 피셔맨"
205,1017,400344,1326,429,1350,-90,0,"루다스 피셔맨"
206,1017,400344,1243,429,1320,-90,0,"루다스 피셔맨"
207,1017,400344,1182,429,1194,-90,0,"루다스 피셔맨"
208,1017,400344,1207,429,1264,-90,0,"루다스 피셔맨"
209,1017,400344,1110,429,1418,-90,0,"루다스 피셔맨"
210,1017,400344,1079,429,1355,-90,0,"루다스 피셔맨"
211,1017,400344,988,429,1269,-90,0,"루다스 피셔맨"
212,1017,400344,1037,429,1164,-90,0,"루다스 피셔맨"
213,1017,400344,1107,429,1183,-90,0,"루다스 피셔맨"
214,1017,400344,846,441,1310,-90,0,"루다스 피셔맨"
215,1017,400344,561,527,876,-90,0,"루다스 피셔맨"
216,1017,400344,570,527,795,-90,0,"루다스 피셔맨"
217,1017,400344,580,527,672,-90,0,"루다스 피셔맨"
218,1017,400344,572,527,537,-90,0,"루다스 피셔맨"
219,1017,400344,562,527,424,-90,0,"루다스 피셔맨"
220,1017,400344,627,527,347,-90,0,"루다스 피셔맨"
221,1017,400344,526,527,351,-90,0,"루다스 피셔맨"
222,1017,400344,510,527,234,-90,0,"루다스 피셔맨"
223,1017,400344,536,527,154,-90,0,"루다스 피셔맨"
224,1017,400344,444,527,117,-90,0,"루다스 피셔맨"
225,1018,400103,833,455,-1038,-90,0,"지뷰 밴시"
226,1018,400103,557,527,-790,-90,0,"지뷰 밴시"
227,1018,400103,632,526,-704,-90,0,"지뷰 밴시"
228,1018,400103,789,525,-710,-90,0,"지뷰 밴시"
