C:\R1_New\data\se\skillvoice\voice_archer_atk_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_4.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_5.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_cast_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_cast_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_cast_4.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_cast_5.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_shot_5.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_shot_6.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_atk_shot_7.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_bounce_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_camouflage_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_cloaking_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_atk_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_atk_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_atk_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_atk_4.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_atk_5.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_cannonshot_1.wav, quality=0, fsound_loop_off
